a,b,n_a,n_b,median_a,median_b,U,p_raw,effect_r,p_holm,significant
P1,P4,2380,2980,10.84744872556884,9.250479881342546,4162118.0,7.264255532092963e-28,0.17368394337600823,1.5254936617395222e-26,True
P2,P4,1784,2980,10.417324999274687,9.250479881342546,3048665.0,1.9085002514281793e-17,0.1469080115568664,3.8170005028563585e-16,True
P4,P8,2980,1080,9.250479881342546,10.84315900971669,1342755.0,6.832127878990781e-16,0.16557606263982105,1.2981042970082485e-14,True
P3,P4,2516,2980,10.018430320991557,9.250479881342546,4121755.0,1.9763082731349482e-10,0.09947477086245349,3.557354891642907e-09,True
P1,P3,2380,2516,10.84744872556884,10.018430320991557,3192460.0,5.972464784136533e-05,0.06627165969726523,0.0010153190133032105,True
P3,P8,2516,1080,10.018430320991557,10.84315900971669,1273957.0,0.003005250080651093,0.06232924100571158,0.04808400129041749,True
P2,P3,1784,2516,10.417324999274687,10.018430320991557,2349707.0,0.008571975436842984,0.0469795996207234,0.12857963155264476,False
P4,P6,2980,168,9.250479881342546,9.89690821025603,223166.0,0.017835654705440292,0.10847714924896135,0.2496991658761641,False
P1,P2,2380,1784,10.84744872556884,10.417324999274687,2157329.0,0.370638627525653,0.016189188679956334,1.0,False
P5,P6,32,168,10.742485046649337,9.89690821025603,2298.0,0.19429171643272347,0.1450892857142857,1.0,False
P4,P5,2980,32,9.250479881342546,10.742485046649337,47326.0,0.942408316064617,0.007424496644295342,1.0,False
P3,P6,2516,168,10.018430320991557,9.89690821025603,205542.0,0.5508060592300157,0.027452873041108328,1.0,False
P2,P8,1784,1080,10.417324999274687,10.84315900971669,949127.0,0.5069523996430083,0.01477433150639429,1.0,False
P5,P8,32,1080,10.742485046649337,10.84315900971669,14528.0,0.1243350518439631,0.1592592592592592,1.0,False
P2,P6,1784,168,10.417324999274687,9.89690821025603,151456.0,0.8188540806843312,0.010676916506512812,1.0,False
P2,P5,1784,32,10.417324999274687,10.742485046649337,32813.0,0.14654863397909013,0.14955857623318392,1.0,False
P1,P8,2380,1080,10.84744872556884,10.84315900971669,1287799.0,0.9239685295886232,0.002022253345782765,1.0,False
P1,P6,2380,168,10.84744872556884,9.89690821025603,205790.0,0.5241972004677857,0.02936174469787911,1.0,False
P1,P5,2380,32,10.84744872556884,10.742485046649337,44453.0,0.10344228613679161,0.16735819327731094,1.0,False
P3,P5,2516,32,10.018430320991557,10.742485046649337,44393.0,0.3171896865466608,0.1027672893481717,1.0,False
P6,P8,168,1080,9.89690821025603,10.84315900971669,88434.0,0.598940060656878,0.02519841269841272,1.0,False
