a,b,n_a,n_b,median_a,median_b,U,p_raw,effect_r,p_holm,significant
P1,P4,595,745,9.922339487594636,8.112316720215478,276559.0,6.031110339021986e-15,0.2477987705149174,1.266533171194617e-13,True
P4,P8,745,270,8.112316720215478,10.443849740270771,72059.0,4.8537709196275455e-12,0.2835297042008451,9.707541839255091e-11,True
P3,P4,629,745,9.200981005572494,8.112316720215478,281254.0,1.4803892609430417e-10,0.20038838680765259,2.8127395957917793e-09,True
P2,P4,446,745,9.023538114741363,8.112316720215478,192667.0,3.8716245236772e-06,0.15970144761790106,6.96892414261896e-05,True
P2,P8,446,270,9.023538114741363,10.443849740270771,53699.0,0.015218085735689953,0.10813818302607536,0.2506080135084611,False
P1,P5,595,8,9.922339487594636,6.544329390139977,3562.0,0.015786852784233453,0.4966386554621849,0.2506080135084611,False
P5,P8,8,270,6.544329390139977,10.443849740270771,533.0,0.01474164785343889,0.5064814814814815,0.2506080135084611,False
P6,P8,42,270,6.705043752840567,10.443849740270771,4457.0,0.025785306301975473,0.21393298059964727,0.3609942882276566,False
P3,P5,629,8,9.200981005572494,6.544329390139977,3638.0,0.02822090277232191,0.44594594594594605,0.36687173604018486,False
P1,P6,595,42,9.922339487594636,6.705043752840567,14942.0,0.03379795097704834,0.19583833533413375,0.40557541172458006,False
P1,P2,595,446,9.922339487594636,9.023538114741363,142404.0,0.042912833135002,0.0732486716659757,0.472041164485022,False
P2,P5,446,8,9.023538114741363,6.544329390139977,2483.0,0.05654392022834526,0.39181614349775784,0.5654392022834526,False
P3,P8,629,270,9.200981005572494,10.443849740270771,78355.0,0.06607026326509685,0.07725372431254784,0.5946323693858717,False
P3,P6,629,42,9.200981005572494,6.705043752840567,15219.0,0.09850819842321339,0.1521689756983875,0.7880655873857071,False
P2,P6,446,42,9.023538114741363,6.705043752840567,10421.0,0.22744987618559265,0.1126414691437112,1.0,False
P1,P8,595,270,9.922339487594636,10.443849740270771,77759.0,0.4511702649554816,0.03194522253345777,1.0,False
P4,P5,745,8,8.112316720215478,6.544329390139977,3861.0,0.15019709609761356,0.2956375838926175,1.0,False
P4,P6,745,42,8.112316720215478,6.705043752840567,15400.0,0.8645615946777475,0.015659955257270708,1.0,False
P1,P3,595,629,9.922339487594636,9.200981005572494,195249.0,0.18889414237132496,0.04340088976767187,1.0,False
P5,P6,8,42,6.544329390139977,6.705043752840567,129.0,0.31467841010254366,0.2321428571428571,1.0,False
P2,P3,446,629,9.023538114741363,9.200981005572494,135898.0,0.38374766998616994,0.03114773966791906,1.0,False
