subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1109,ses-1,run-01,anode,control,-48.47044209,-8.49236931,67.41317446,-48.7093474981009,-11.4753011743017,67.96037593628932,active,0.2389054081008979,2.9829318643016993,-0.5472014762893309,3.042102522391297,P1,P1,a_baseline,105.08,0.0226,57.58,60.42,True,different_montage?+high_residual,47.89,control
sub-1109,ses-1,run-01,cathode1,control,-32.83473951,42.93550233,58.21026634,-29.09999835378145,39.29243775403908,62.07413834638205,active,-3.734741156218547,3.6430645759609206,-3.863872006382053,6.492281408740447,P1,P1,a_baseline,105.08,0.0226,57.58,60.42,True,different_montage?+high_residual,47.89,control
sub-1109,ses-1,run-01,cathode2,control,-70.55029447,-36.48763377,29.52496603,-70.3585359452983,-29.5170981103404,23.88202889626525,active,-0.1917585247016973,-6.970535659659603,5.642937133734751,8.970388966464302,P1,P1,a_baseline,105.08,0.0226,57.58,60.42,True,different_montage?+high_residual,47.89,control
sub-1109,ses-1,run-01,cathode3,control,-13.03845626,-40.01225296,88.51489087,-12.534466345094897,-47.26489164182854,86.00510643033674,active,-0.5039899149051035,7.252638681828543,2.509784439663264,7.691150214178473,P1,P1,a_baseline,105.08,0.0226,57.58,60.42,True,different_montage?+high_residual,47.89,control
sub-1109,ses-1,run-02,anode,control,-48.50976328,-8.75434102,67.875543,-48.7093474981009,-11.4753011743017,67.96037593628932,active,0.19958421810089533,2.7209601543017,-0.08483293628933097,2.7295887324818637,P1,P1,a_baseline,105.56,0.0221,57.1,60.26,True,different_montage?+high_residual,47.98,control
sub-1109,ses-1,run-02,cathode1,control,-32.7949558,42.46528465,58.48876506,-29.09999835378145,39.29243775403908,62.07413834638205,active,-3.6949574462185453,3.172846895960923,-3.585373286382051,6.047691258428853,P1,P1,a_baseline,105.56,0.0221,57.1,60.26,True,different_montage?+high_residual,47.98,control
sub-1109,ses-1,run-02,cathode2,control,-71.32114326,-36.95704718,29.55254581,-70.3585359452983,-29.5170981103404,23.88202889626525,active,-0.9626073147016996,-7.439949069659605,5.670516913734751,9.403946887897545,P1,P1,a_baseline,105.56,0.0221,57.1,60.26,True,different_montage?+high_residual,47.98,control
sub-1109,ses-1,run-02,cathode3,control,-13.09014218,-39.83625349,88.58894956,-12.534466345094897,-47.26489164182854,86.00510643033674,active,-0.5556758349051041,7.428638151828544,2.583843129663265,7.884775567066455,P1,P1,a_baseline,105.56,0.0221,57.1,60.26,True,different_montage?+high_residual,47.98,control
sub-1109,ses-2,run-01,anode,control,-55.17766389,-17.03195802,62.07475923,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-6.468316391899101,-5.556656845698301,-5.885616706289326,10.361275802714086,P1,P1,a_baseline,106.7,0.0325,57.14,61.79,True,different_montage?+high_residual,50.41,control
sub-1109,ses-2,run-01,cathode1,control,-38.10921591,35.94007045,58.49083733,-29.09999835378145,39.29243775403908,62.07413834638205,active,-9.009217556218552,-3.3523673040390776,-3.583301016382052,10.25887000066145,P1,P1,a_baseline,106.7,0.0325,57.14,61.79,True,different_montage?+high_residual,50.41,control
sub-1109,ses-2,run-01,cathode2,control,-70.61308684,-38.85283322,16.2291108,-70.3585359452983,-29.5170981103404,23.88202889626525,active,-0.2545508947016941,-9.335735109659602,-7.65291809626525,12.074266088829935,P1,P1,a_baseline,106.7,0.0325,57.14,61.79,True,different_montage?+high_residual,50.41,control
sub-1109,ses-2,run-01,cathode3,control,-22.77162889,-50.44085817,84.16822589,-12.534466345094897,-47.26489164182854,86.00510643033674,active,-10.237162544905102,-3.1759665281714575,-1.836880540336736,10.874759329674434,P1,P1,a_baseline,106.7,0.0325,57.14,61.79,True,different_montage?+high_residual,50.41,control
sub-1109,ses-2,run-02,anode,control,-55.12163588,-17.29745468,61.73523861,-48.7093474981009,-11.4753011743017,67.96037593628932,active,-6.412288381899103,-5.822153505698301,-6.225137326289321,10.666173093838005,P1,P1,a_baseline,107.22,0.0278,57.29,61.29,True,different_montage?+high_residual,50.26,control
sub-1109,ses-2,run-02,cathode1,control,-38.1980249,35.22411121,57.91713347,-29.09999835378145,39.29243775403908,62.07413834638205,active,-9.098026546218549,-4.068326544039081,-4.157004876382047,10.798428471166279,P1,P1,a_baseline,107.22,0.0278,57.29,61.29,True,different_montage?+high_residual,50.26,control
