index,anode,cathode1,cathode2,cathode3,exp,condition,subject,stim,session,run
P8_control_sub-2506,"[46.2895302496398, -7.38901432435648, 61.5846512828235]","[42.275726493349325, -54.52100776406167, 48.10618425463205]","[71.33735653467836, 21.545875118313447, 30.257954784614107]","[4.1873694933197445, 13.39940170239881, 76.07239846828578]",P8,control,sub-2506,sham,ses-baseline,run-baseline
P3_target_sub-064,"[-68.40020906390579, -53.59718896490202, 43.23644678381709]","[-66.71308171896786, -14.041559657669545, 41.59941673425878]","[-67.8733728669291, -70.77150420888502, 7.555576424408178]","[-43.482959715413216, -69.87624037033338, 68.85371571493165]",P3,target,sub-064,sham,ses-baseline,run-baseline
P1_control_sub-056,"[-49.954507694096186, -38.77512119958982, 83.80873282941015]","[-37.03883836240405, 9.303951294368165, 85.16683815886087]","[-77.31252227824804, -51.412173990977266, 45.61668602704828]","[-13.451289557372313, -70.4819632949875, 93.514079008798]",P1,control,sub-056,sham,ses-baseline,run-baseline
P2_control_sub-2016,"[5.19561321247715, 5.253495535719995, 100.12558432712503]","[-29.695103992715648, -12.601843109114059, 93.71240930927752]","[37.13270748689072, -16.827468602340268, 91.84624250993456]","[7.230872572894873, 44.079295987922826, 91.20466586925089]",P2,control,sub-2016,sham,ses-baseline,run-baseline
P1_control_sub-060,"[-54.32121599839465, -31.103327224589552, 70.83370199589423]","[-41.10982503664235, 16.7456821228323, 74.57822698817468]","[-74.47147451388167, -43.294145778732094, 27.988014497863134]","[-20.907609658995, -63.34935203695409, 85.84711683555287]",P1,control,sub-060,sham,ses-baseline,run-baseline
P7_control_sub-058,"[41.58165738568426, -14.196046636309243, 80.4827958868164]","[49.302237159199905, -62.266358232391, 73.752981299085]","[61.4932702000694, 17.026485714269484, 47.532320519246255]","[-3.0712241448686863, -0.898542615814792, 95.94017209824821]",P7,control,sub-058,sham,ses-baseline,run-baseline
P5_target_sub-5021,"[-49.92955344544847, 0.09092547074382658, 69.80894603292934]","[-32.78557703925041, 46.919916674227814, 71.89702365940687]","[-75.32989555874764, -10.361962693303353, 30.855095900713334]","[-18.340149403564574, -35.42935891751031, 83.71710528280647]",P5,target,sub-5021,sham,ses-baseline,run-baseline
P4_target_sub-4020,"[-70.85940533482234, 26.48095373477082, 33.020491240634435]","[-44.73170126006984, 66.21499999479718, 45.98732942019208]","[-74.51147669337118, 20.191503300343044, -15.83566370817478]","[-63.084818924317894, -15.131605711525758, 59.135877588969336]",P4,target,sub-4020,sham,ses-baseline,run-baseline
P1_control_sub-014,"[-51.151477172938634, -23.489609854062962, 84.74227615579127]","[-35.25718686973669, 23.4985712285653, 80.45963070981249]","[-78.0716077003376, -38.65121579793066, 47.95972717985968]","[-16.107974970615718, -55.54309040839549, 97.0797655259735]",P1,control,sub-014,sham,ses-baseline,run-baseline
P1_target_sub-059,"[68.98052335165892, -61.536917502918584, 10.901431240895278]","[61.66099269088293, -79.11089259655209, 33.96444196519931]","[60.16766596219166, -69.07906189612315, -16.63195475392249]","[75.28873567391678, -32.80683111089599, 15.893060190435392]",P1,target,sub-059,sham,ses-baseline,run-baseline
P1_control_sub-040,"[-39.690829276359445, -1.934022213453703, 61.795174606163094]","[-19.921888520992372, 43.68985310548152, 58.87565301592363]","[-72.28729861158759, -13.653396961869648, 27.63267879791995]","[-9.875972105041651, -38.73246400882223, 76.60764284172632]",P1,control,sub-040,sham,ses-baseline,run-baseline
P2_target_sub-2010,"[-28.197572325934825, -54.021935963611355, 88.23737418430693]","[-63.32702133290384, -11.158193513871762, 71.35944963150519]","[-14.261615843174198, -85.50098029498663, 39.85104227879705]","[20.002383698603165, -29.41889398603657, 110.32870809412745]",P2,target,sub-2010,sham,ses-baseline,run-baseline
P7_control_sub-045,"[39.255106280912706, -17.448865286406164, 89.97015369849196]","[44.046978562037474, -65.42025398380828, 79.09022999016304]","[62.05148101538155, 13.907390136023485, 59.57582164685486]","[-6.804854648766418, -3.4816325356988838, 100.2233089609747]",P7,control,sub-045,sham,ses-baseline,run-baseline
P4_target_sub-4005,"[-71.02355885783227, 25.661808937769468, 9.495900715450885]","[-46.72826906979724, 61.4840469920149, 33.473867266978196]","[-72.70099916646475, 30.382114451007734, -39.92035853678707]","[-68.09210974671703, -20.42681803210829, 27.77974237198255]",P4,target,sub-4005,sham,ses-baseline,run-baseline
P1_target_sub-1106,"[70.35977174262176, -55.97967326568357, 1.6619199089456076]","[62.86473788186445, -74.06105621264489, 24.392815609121907]","[63.10515578914871, -64.03675290357306, -26.17409686275489]","[76.1628561653545, -27.113104151129843, 7.249065795578179]",P1,target,sub-1106,sham,ses-baseline,run-baseline
P6_target_sub-6128,"[59.854768658903424, -80.77055285166294, -26.3587101696573]","[11.496771408252576, -111.89289978072543, -24.815279470050633]","[63.15613945895032, -42.97250107591479, -71.49516446101762]","[77.47903357053349, -60.16112154666188, 25.7161734403883]",P6,target,sub-6128,sham,ses-baseline,run-baseline
P3_target_sub-002,"[-61.43532338263444, -45.59389660592666, 64.80947027420022]","[-62.27766000515173, -5.911154864563402, 61.4765473741527]","[-66.34026489049577, -65.63692772375535, 30.929848221702084]","[-34.13660855870171, -60.65893361269984, 89.38650217207372]",P3,target,sub-002,sham,ses-baseline,run-baseline
