Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
0.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,X,74.08,2023-05-17
6636.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,Y,-61.42,2023-05-17
13272.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,Z,3.59,2023-05-17
4.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,X,64.13,2023-05-17
6640.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,Y,-81.92,2023-05-17
13276.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,Z,22.88,2023-05-17
8.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,X,66.81,2023-05-17
6644.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,Y,-64.15,2023-05-17
13280.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,Z,-25.34,2023-05-17
12.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,X,80.85,2023-05-17
6648.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,Y,-34.22,2023-05-17
13284.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,Z,13.94,2023-05-17
1.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,X,74.08,2023-05-17
6637.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,Y,-61.42,2023-05-17
13273.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,Z,3.59,2023-05-17
5.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,X,64.13,2023-05-17
6641.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,Y,-81.92,2023-05-17
13277.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,Z,22.88,2023-05-17
9.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,X,66.81,2023-05-17
6645.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,Y,-64.15,2023-05-17
13281.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,Z,-25.34,2023-05-17
13.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,X,80.85,2023-05-17
6649.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,Y,-34.22,2023-05-17
13285.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,Z,13.94,2023-05-17
2.0,sub-001,ses-0,baseline,P1,Anode,Sophie,half-automated,X,74.08,2023-05-17
6638.0,sub-001,ses-0,baseline,P1,Anode,Sophie,half-automated,Y,-61.42,2023-05-17
13274.0,sub-001,ses-0,baseline,P1,Anode,Sophie,half-automated,Z,3.59,2023-05-17
6.0,sub-001,ses-0,baseline,P1,Cathode1,Sophie,half-automated,X,64.13,2023-05-17
6642.0,sub-001,ses-0,baseline,P1,Cathode1,Sophie,half-automated,Y,-81.92,2023-05-17
13278.0,sub-001,ses-0,baseline,P1,Cathode1,Sophie,half-automated,Z,22.88,2023-05-17
10.0,sub-001,ses-0,baseline,P1,Cathode2,Sophie,half-automated,X,66.81,2023-05-17
6646.0,sub-001,ses-0,baseline,P1,Cathode2,Sophie,half-automated,Y,-64.15,2023-05-17
13282.0,sub-001,ses-0,baseline,P1,Cathode2,Sophie,half-automated,Z,-25.34,2023-05-17
14.0,sub-001,ses-0,baseline,P1,Cathode3,Sophie,half-automated,X,80.85,2023-05-17
6650.0,sub-001,ses-0,baseline,P1,Cathode3,Sophie,half-automated,Y,-34.22,2023-05-17
13286.0,sub-001,ses-0,baseline,P1,Cathode3,Sophie,half-automated,Z,13.94,2023-05-17
3.0,sub-001,ses-0,baseline,P1,Anode,Sophie,manually,X,74.08,2023-05-17
6639.0,sub-001,ses-0,baseline,P1,Anode,Sophie,manually,Y,-61.42,2023-05-17
13275.0,sub-001,ses-0,baseline,P1,Anode,Sophie,manually,Z,3.59,2023-05-17
7.0,sub-001,ses-0,baseline,P1,Cathode1,Sophie,manually,X,64.13,2023-05-17
6643.0,sub-001,ses-0,baseline,P1,Cathode1,Sophie,manually,Y,-81.92,2023-05-17
13279.0,sub-001,ses-0,baseline,P1,Cathode1,Sophie,manually,Z,22.88,2023-05-17
11.0,sub-001,ses-0,baseline,P1,Cathode2,Sophie,manually,X,66.81,2023-05-17
6647.0,sub-001,ses-0,baseline,P1,Cathode2,Sophie,manually,Y,-64.15,2023-05-17
13283.0,sub-001,ses-0,baseline,P1,Cathode2,Sophie,manually,Z,-25.34,2023-05-17
15.0,sub-001,ses-0,baseline,P1,Cathode3,Sophie,manually,X,80.85,2023-05-17
6651.0,sub-001,ses-0,baseline,P1,Cathode3,Sophie,manually,Y,-34.22,2023-05-17
13287.0,sub-001,ses-0,baseline,P1,Cathode3,Sophie,manually,Z,13.94,2023-05-17
16.0,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,X,73.84,2023-05-24
6652.0,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,Y,-61.13,2023-05-24
13288.0,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,Z,4.23,2023-05-24
20.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,X,65.04,
6656.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,Y,-78.49,
13292.0,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,Z,30.52,
24.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,X,60.64,
6660.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,Y,-72.98,
13296.0,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,Z,-26.29,
