subject,session,run,electrode,condition,X,Y,Z,coordinates_xyz,euclidean_norm
sub-001,ses-1,run-01,anode,target,73.82421029,-62.66111735,4.89711474,"[73.824, -62.661, 4.897]",96.95571868265088
sub-001,ses-1,run-01,cathode1,target,65.5831401,-80.1216321,31.99931039,"[65.583, -80.122, 31.999]",108.37241374620915
sub-001,ses-1,run-01,cathode2,target,62.46847626,-75.11237504,-24.25037954,"[62.468, -75.112, -24.250]",100.65912933375616
sub-001,ses-1,run-01,cathode3,target,80.57367315,-29.15684307,6.09171726,"[80.574, -29.157, 6.092]",85.90312754415534
sub-001,ses-1,run-02,anode,target,74.16579743,-64.09435244,3.99889704,"[74.166, -64.094, 3.999]",98.10526336882873
sub-001,ses-1,run-02,cathode1,target,65.83849077,-80.75404605,31.52879904,"[65.838, -80.754, 31.529]",108.85765011803994
sub-001,ses-1,run-02,cathode2,target,62.40841505,-76.46240283,-25.73575334,"[62.408, -76.462, -25.736]",101.9982270216869
sub-001,ses-1,run-02,cathode3,target,81.03307888,-29.6613304,4.91775032,"[81.033, -29.661, 4.918]",86.43112091185748
sub-001,ses-2,run-01,anode,target,73.04116839,-60.27732576,-4.63884528,"[73.041, -60.277, -4.639]",94.8150155095978
sub-001,ses-2,run-01,cathode1,target,63.1030035,-82.50514925,10.36093401,"[63.103, -82.505, 10.361]",104.38600316635062
sub-001,ses-2,run-01,cathode2,target,68.35856847,-56.99961085,-33.74922776,"[68.359, -57.000, -33.749]",95.18854917854074
sub-001,ses-2,run-01,cathode3,target,80.07972018,-36.14781067,9.76569734,"[80.080, -36.148, 9.766]",88.40132716694782
sub-001,ses-2,run-02,anode,target,73.42588941,-61.11065209,-5.02533299,"[73.426, -61.111, -5.025]",95.66152312280498
sub-001,ses-2,run-02,cathode1,target,63.18170358,-83.29045163,10.39451207,"[63.182, -83.290, 10.395]",105.05842603605734
sub-001,ses-2,run-02,cathode2,target,69.03511008,-57.75977714,-34.20050755,"[69.035, -57.760, -34.201]",96.28973463302198
sub-001,ses-2,run-02,cathode3,target,80.06676384,-36.8749336,9.56275625,"[80.067, -36.875, 9.563]",88.66732039997405
sub-001,ses-3,run-01,anode,target,72.31477121,-65.40689225,-3.41139286,"[72.315, -65.407, -3.411]",97.56600478754378
sub-001,ses-3,run-01,cathode1,target,61.87754549,-85.43710883,15.83794555,"[61.878, -85.437, 15.838]",106.67319588510063
sub-001,ses-3,run-01,cathode2,target,65.1368822,-67.79231942,-33.05335369,"[65.137, -67.792, -33.053]",99.65508609818278
sub-001,ses-3,run-01,cathode3,target,79.79109587,-40.38541595,7.69123522,"[79.791, -40.385, 7.691]",89.75943349197016
sub-001,ses-3,run-02,anode,target,73.08399576,-66.11379123,-3.9682946,"[73.084, -66.114, -3.968]",98.63088354609884
sub-001,ses-3,run-02,cathode1,target,62.14869536,-86.371098,15.49761477,"[62.149, -86.371, 15.498]",107.52954462953431
sub-001,ses-3,run-02,cathode2,target,65.69943186,-68.73984951,-33.33998029,"[65.699, -68.740, -33.340]",100.76277359780157
sub-001,ses-3,run-02,cathode3,target,80.10966451,-41.54170275,7.66839198,"[80.110, -41.542, 7.668]",90.56531152065364
sub-001,ses-4,run-01,anode,target,73.29742718,-64.61919002,5.91358375,"[73.297, -64.619, 5.914]",97.89342686215727
sub-001,ses-4,run-01,cathode1,target,63.2414123,-82.8570135,25.06770513,"[63.241, -82.857, 25.068]",107.20611342793097
sub-001,ses-4,run-01,cathode2,target,67.4359097,-63.91595461,-26.46754058,"[67.436, -63.916, -26.468]",96.60942953525853
sub-001,ses-4,run-01,cathode3,target,80.08847002,-39.43788668,15.97660745,"[80.088, -39.438, 15.977]",90.69047315755033
sub-001,ses-4,run-02,anode,target,73.80157455,-65.22173925,-1.07092539,"[73.802, -65.222, -1.071]",98.49718045733668
sub-001,ses-4,run-02,cathode1,target,64.70360248,-84.90900266,17.78351273,"[64.704, -84.909, 17.784]",108.22360293218767
sub-001,ses-4,run-02,cathode2,target,66.77682335,-62.9050703,-32.90706117,"[66.777, -62.905, -32.907]",97.46315550509931
sub-001,ses-4,run-02,cathode3,target,80.30322539,-39.58583971,11.40352258,"[80.303, -39.586, 11.404]",90.25345999359538
sub-001,ses-baseline,run-baseline,anode,control,-44.152537252379226,-37.43741710369948,88.65207654342903,"[-44.153, -37.437, 88.652]",105.8782197653564
sub-001,ses-baseline,run-baseline,anode,target,73.75908416275728,-61.40404641950161,1.4903139249760893,"[73.759, -61.404, 1.490]",95.98479279975551
sub-001,ses-baseline,run-baseline,cathode1,control,-30.062390092887355,9.805525784860377,95.89977020207337,"[-30.062, 9.806, 95.900]",100.97852028439006
