network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
a_baseline,2031.1,1461.9,1668.0,2290.0,7451.0,0.1718,36.87,37.89,0.0111,115.26,2.96,True,sub-001,ses-1,run-01,[ 73.82421029 -62.66111735   4.89711474],[ 62.46847626 -75.11237504 -24.25037954],[ 65.5831401  -80.1216321   31.99931039],[ 80.57367315 -29.15684307   6.09171726]
a_baseline,1910.8,1583.6,1717.1,2326.0,7537.5,0.1487,36.83,38.91,0.0225,116.33,2.22,True,sub-001,ses-1,run-02,[ 74.16579743 -64.09435244   3.99889704],[ 62.40841505 -76.46240283 -25.73575334],[ 65.83849077 -80.75404605  31.52879904],[ 81.03307888 -29.6613304    4.91775032]
a_baseline,1600.5,1713.5,1677.5,2075.8,7067.3,0.1036,31.69,32.86,0.0151,115.74,3.04,True,sub-001,ses-2,run-01,[ 73.04116839 -60.27732576  -4.63884528],[ 63.1030035  -82.50514925  10.36093401],[ 68.35856847 -56.99961085 -33.74922776],[ 80.07972018 -36.14781067   9.76569734]
a_baseline,1558.0,1712.0,1682.7,1914.5,6867.1,0.0745,32.02,32.89,0.0117,115.66,3.63,True,sub-001,ses-2,run-02,[ 73.42588941 -61.11065209  -5.02533299],[ 63.18170358 -83.29045163  10.39451207],[ 69.03511008 -57.75977714 -34.20050755],[ 80.06676384 -36.8749336    9.56275625]
a_baseline,1743.5,1998.8,1714.9,2064.8,7522.1,0.0816,31.44,33.89,0.0307,115.74,2.1,True,sub-001,ses-3,run-01,[ 72.31477121 -65.40689225  -3.41139286],[ 61.87754549 -85.43710883  15.83794555],[ 65.1368822  -67.79231942 -33.05335369],[ 79.79109587 -40.38541595   7.69123522]
a_baseline,1753.8,2041.4,1640.1,1928.4,7363.7,0.084,31.11,33.68,0.0352,114.3,3.34,True,sub-001,ses-3,run-02,[ 73.08399576 -66.11379123  -3.9682946 ],[ 62.14869536 -86.371098    15.49761477],[ 65.69943186 -68.73984951 -33.33998029],[ 80.10966451 -41.54170275   7.66839198]
a_baseline,1615.2,1759.7,1388.5,1976.8,6740.2,0.1271,30.97,36.46,0.076,112.23,6.87,True,sub-001,ses-4,run-01,[ 73.29742718 -64.61919002   5.91358375],[ 63.2414123  -82.8570135   25.06770513],[ 67.4359097  -63.91595461 -26.46754058],[ 80.08847002 -39.43788668  15.97660745]
a_baseline,1648.9,1798.6,1679.7,1769.2,6896.4,0.0358,31.84,36.21,0.0579,113.04,7.02,True,sub-001,ses-4,run-02,[ 73.80157455 -65.22173925  -1.07092539],[ 64.70360248 -84.90900266  17.78351273],[ 66.77682335 -62.9050703  -32.90706117],[ 80.30322539 -39.58583971  11.40352258]
a_baseline,1582.9,1742.8,1381.9,1367.3,6074.9,0.102,40.46,42.69,0.0249,113.67,3.17,True,sub-002,ses-1,run-01,[-66.48929094 -58.16700547  37.96426678],[-69.58477961 -20.48120397  45.23982018],[-64.59175695 -71.57851815   1.88114718],[-48.0943143  -76.57262906  63.56740266]
a_baseline,1558.0,1890.2,1373.9,1404.7,6226.7,0.1316,40.41,43.13,0.0297,114.16,3.31,True,sub-002,ses-1,run-02,[-66.06831633 -58.42142543  38.56775672],[-68.95390084 -20.32930105  46.08553069],[-63.96002255 -72.05685027   2.28786299],[-47.6696011  -77.25478765  63.78315499]
