network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
b_no_attention,1877.0,1875.6,1761.9,2361.2,7875.7,0.1174,36.42,38.39,0.0244,115.4,3.78,True,sub-001,ses-1,run-01,[ 74.12701852 -62.02842208   5.33092505],[ 62.52705923 -74.77188408 -24.73320332],[ 66.02882403 -79.18597235  32.17605481],[ 80.46723423 -27.98548501   5.57020513]
b_no_attention,1888.8,1971.7,1767.0,2405.2,8032.6,0.1198,36.58,39.57,0.0327,114.47,3.36,True,sub-001,ses-1,run-02,[ 74.22515566 -63.57761333   3.90340344],[ 62.79912415 -75.73088813 -25.69690799],[ 66.01516152 -80.15230489  31.24837582],[ 80.73627117 -28.45502526   3.94549264]
b_no_attention,1496.4,1681.9,1846.2,2125.7,7150.2,0.1293,31.87,33.07,0.0154,115.5,2.66,True,sub-001,ses-2,run-01,[ 72.95233449 -59.61755059  -4.64576696],[ 63.0027457  -82.32920762   9.92334775],[ 68.28581738 -56.36598804 -33.95370899],[ 80.09512626 -35.2687695    9.69900064]
b_no_attention,1510.3,1649.7,1883.6,2120.6,7164.2,0.1297,32.28,33.01,0.0102,116.95,1.73,True,sub-001,ses-2,run-02,[ 73.46915662 -60.24869229  -5.0232213 ],[ 63.19056027 -83.14280923   9.76999582],[ 68.91144664 -57.50502865 -34.34065402],[ 80.18270398 -35.93461867   9.6472507 ]
b_no_attention,1833.0,1957.7,1767.0,2376.6,7934.3,0.1195,31.17,33.06,0.0251,115.69,2.53,True,sub-001,ses-3,run-01,[ 72.25996747 -64.85388354  -3.59552868],[ 62.02407518 -85.1642589   15.70787536],[ 65.34493551 -67.59561069 -32.12829019],[ 79.79880212 -40.14884114   7.56243135]
b_no_attention,1836.0,1941.6,1671.7,2348.0,7797.2,0.128,30.75,33.18,0.0352,114.92,3.02,True,sub-001,ses-3,run-02,[ 72.96379656 -65.64497304  -3.96836873],[ 62.5263895  -85.95215233  15.39385079],[ 65.85935695 -68.36993013 -32.91816085],[ 80.09690802 -41.31457901   7.32595465]
b_no_attention,1706.9,1897.6,1866.8,2155.0,7626.3,0.0843,30.58,35.43,0.0685,111.49,6.92,True,sub-001,ses-4,run-01,[ 73.02594875 -64.12574978   5.63572739],[ 63.32045981 -82.31581846  24.43019062],[ 67.42473842 -63.45070852 -25.85080123],[ 79.97171026 -39.18211859  15.20324904]
b_no_attention,1885.1,1874.1,1866.8,2119.8,7745.8,0.0548,31.53,33.89,0.0316,112.46,8.02,True,sub-001,ses-4,run-02,[ 73.29128155 -65.31806817  -1.47454313],[ 64.64227832 -84.74575327  17.42816748],[ 67.04702843 -62.80106642 -31.31383143],[ 80.22779423 -40.01656858  10.5001062 ]
b_no_attention,1421.5,1760.4,1465.5,1219.8,5867.3,0.1317,41.43,42.6,0.0131,112.96,4.47,True,sub-002,ses-1,run-01,[-66.75939977 -57.92935593  38.06966951],[-69.62443897 -20.37131105  45.8014098 ],[-64.39302323 -72.10858428   2.39881768],[-47.85414562 -76.79354126  64.21799369]
b_no_attention,1386.3,1770.7,1438.4,1237.4,5832.9,0.1337,41.12,43.5,0.0229,113.27,4.24,True,sub-002,ses-1,run-02,[-66.30453224 -58.44342308  38.54854404],[-69.04167777 -20.07678977  46.4414623 ],[-63.80085572 -72.33776506   2.93406617],[-47.50919243 -77.40027733  64.31383288]
b_no_attention,1754.5,1687.1,1505.9,1896.8,6844.4,0.0822,40.22,43.79,0.0352,113.04,2.51,True,sub-002,ses-2,run-01,[-60.21008052 -41.38290307  65.25094169],[-68.38742181 -56.52808146  29.66427584],[-55.33645121  -3.41361509  68.71254602],[-38.70208241 -62.74365205  85.16810911]
b_no_attention,1747.2,1751.6,1543.3,1902.0,6944.1,0.0735,40.23,44.09,0.0375,112.43,2.92,True,sub-002,ses-2,run-02,[-59.29858261 -41.62265193  64.4558874 ],[-68.08793604 -57.0367038   28.83370915],[-54.84204215  -3.4914311   66.75003104],[-37.66511932 -63.26921595  83.94663537]
b_no_attention,1454.5,1474.3,1464.8,1736.2,6129.9,0.0769,41.83,44.22,0.0262,114.02,2.21,True,sub-002,ses-3,run-01,[-60.6108809  -42.28857703  65.39851643],[-66.89466257 -58.58558327  31.87142073],[-56.87575321  -2.57621717  67.0782528 ],[-36.30978695 -61.07392355  87.29804043]
b_no_attention,1348.2,1453.8,1359.9,1595.4,5757.3,0.0688,41.43,43.93,0.0256,114.15,2.1,True,sub-002,ses-3,run-02,[-60.27927175 -43.10388443  66.32798522],[-66.90901162 -58.72757941  32.53590208],[-56.41049341  -3.70317636  68.63569729],[-36.13974871 -62.13197078  87.56864878]
b_no_attention,1642.3,1465.5,1808.8,1307.8,6224.5,0.1207,35.01,39.59,0.0502,109.71,6.42,True,sub-002,ses-4,run-01,[ 74.02384891 -58.60236927   8.72957946],[ 61.30157544 -75.32459245 -14.86600496],[ 67.13671825 -68.51064313  42.36839358],[ 80.92266757 -25.46107837   7.77820169]
b_no_attention,1676.1,1555.0,1847.0,1510.3,6588.4,0.0791,35.51,39.46,0.043,110.45,5.99,True,sub-002,ses-4,run-02,[ 74.37365507 -59.26943123   8.98914741],[ 61.1329472  -76.24339892 -14.74714049],[ 67.61413141 -69.47208081  42.43229149],[ 80.98981872 -26.16169676   7.86211934]
