network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
c_reduced,1725.2,1275.6,1552.1,1687.1,6239.9,0.113,36.36,38.48,0.0232,114.28,3.95,True,sub-001,ses-1,run-01,[ 74.05805372 -62.19798395   5.31556581],[ 62.24642801 -74.71104784 -24.85305946],[ 65.74348837 -78.9025473   32.30656123],[ 80.24117826 -29.02722245   5.10460427]
c_reduced,1764.8,1382.7,1682.7,1781.0,6611.1,0.097,36.22,38.26,0.0237,113.77,4.31,True,sub-001,ses-1,run-02,[ 74.37316855 -63.44073954   4.07984529],[ 62.65593965 -75.61657629 -26.03413149],[ 65.89460322 -80.23537673  30.8182554 ],[ 80.63436672 -29.80261544   3.85059237]
c_reduced,1512.5,1560.2,1227.2,1384.9,5684.7,0.0908,29.4,32.54,0.0415,117.33,2.29,True,sub-001,ses-2,run-01,[ 73.16847084 -59.55803179  -4.2596883 ],[ 63.3807949  -81.79905223  10.02140503],[ 67.65695708 -58.53806332 -33.09819833],[ 79.74292695 -37.95990712   9.68459039]
c_reduced,1554.3,1514.0,1309.3,1240.4,5617.9,0.0945,28.87,32.37,0.0472,115.23,3.28,True,sub-001,ses-2,run-02,[ 73.42614417 -60.57886019  -4.87359099],[ 63.61365711 -82.42338071   9.90282061],[ 68.35316489 -59.71143326 -33.63836395],[ 79.53590369 -39.5111556    9.18834121]
c_reduced,1711.3,1803.7,1456.0,1726.7,6697.7,0.0782,29.59,33.14,0.0511,115.56,2.88,True,sub-001,ses-3,run-01,[ 72.45594176 -65.02845138  -3.32688985],[ 61.86164068 -85.15683664  15.83912917],[ 65.1664373  -68.04659591 -32.17916802],[ 79.42317791 -41.54127714   7.31648132]
c_reduced,1624.7,1703.9,1393.7,1482.4,6204.7,0.0778,28.36,33.49,0.0744,114.26,3.87,True,sub-001,ses-3,run-02,[ 73.07201559 -65.8477484   -3.77879357],[ 62.12844142 -86.13016341  15.77150945],[ 65.61199524 -68.94598971 -32.66345442],[ 79.65755148 -43.50385752   6.83738197]
c_reduced,1797.8,1561.6,1184.6,1642.3,6186.4,0.1459,30.88,34.91,0.0566,109.52,10.18,True,sub-001,ses-4,run-01,[ 72.74997769 -64.71006921   5.26356631],[ 63.11271444 -82.47766756  24.873318  ],[ 67.99161691 -62.41273653 -25.80976946],[ 80.07439213 -39.81171196  15.4268635 ]
c_reduced,1758.2,1486.1,1216.2,1583.6,6044.1,0.1298,31.02,34.56,0.0489,110.5,10.38,True,sub-001,ses-4,run-02,[ 73.25478711 -65.51689371  -1.20915437],[ 64.79935278 -84.23501088  17.81430941],[ 67.35982314 -61.79692772 -31.62033756],[ 80.11178902 -40.68519518  10.69158517]
c_reduced,1562.4,1709.1,1564.6,1368.0,6204.0,0.0782,41.25,42.72,0.0148,113.59,3.41,True,sub-002,ses-1,run-01,[-66.86861108 -57.85532468  37.94998215],[-69.7472911  -20.06900246  45.09495864],[-64.81627834 -71.5328211    2.30272214],[-48.1063322  -76.56381458  64.08432688]
c_reduced,1616.7,1730.3,1607.8,1437.7,6392.5,0.0654,41.02,42.96,0.0193,112.49,4.18,True,sub-002,ses-1,run-02,[-66.38910466 -58.45246634  38.35064892],[-69.06234823 -20.60014502  46.36912273],[-64.20884122 -71.88231604   2.61931112],[-47.8159485  -77.15057288  64.33044196]
c_reduced,2009.1,1768.5,1319.6,1832.3,6929.4,0.1467,40.34,43.39,0.0315,114.15,2.52,True,sub-002,ses-2,run-01,[-60.20450504 -41.77659341  64.86568911],[-68.48355564 -56.85818783  29.68163192],[-55.0391107   -3.63157596  68.83626557],[-38.5604153  -62.6906388   85.30669967]
c_reduced,1971.7,1872.6,1295.4,1716.4,6856.1,0.1507,40.23,42.97,0.0293,115.16,1.36,True,sub-002,ses-2,run-02,[-59.26623781 -41.97136218  63.67436792],[-68.21710966 -56.57123559  29.15560905],[-54.38691832  -3.61844684  66.81821829],[-37.64141928 -62.7644744   84.07738254]
