network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
proposed,1611.5,1446.5,525.9,1897.6,5481.5,0.3748,36.02,39.33,0.036,114.66,3.6,True,sub-001,ses-1,run-01,[ 74.03971758 -62.48444659   5.76394343],[ 66.04704484 -78.79623858  32.72620951],[ 61.94597383 -75.5171407  -24.95914747],[ 80.37264626 -29.23288487   5.47472835]
proposed,1689.3,990.2,1517.6,2266.5,6463.7,0.2819,36.05,38.1,0.0258,114.94,2.99,True,sub-001,ses-1,run-02,[ 74.29638846 -63.7296618    4.4682188 ],[ 62.54735138 -76.03616565 -25.40143521],[ 66.06649951 -79.89430642  31.47478095],[ 80.8283602  -29.96203718   4.67037626]
proposed,1193.4,1289.5,1072.4,1661.4,5216.7,0.1688,31.77,32.36,0.0076,118.23,0.73,True,sub-001,ses-2,run-01,[ 73.21560494 -59.32271349  -4.46986545],[ 63.3149417  -81.93145133  10.5230975 ],[ 68.00978759 -58.11984568 -33.18973197],[ 79.9353462  -35.42685607   9.88716778]
proposed,1247.7,1284.4,1150.9,1618.9,5301.8,0.133,31.78,32.32,0.0069,117.9,0.69,True,sub-001,ses-2,run-02,[ 73.4800588  -60.23908711  -4.91339465],[ 63.29419371 -82.69956857  10.11437287],[ 68.70353927 -58.88282439 -33.66352723],[ 79.73992915 -36.21247699   9.45198082]
proposed,1569.7,1597.6,1304.9,1764.1,6236.3,0.1055,30.39,33.16,0.0395,115.06,3.73,True,sub-001,ses-3,run-01,[ 72.37328725 -64.89273476  -3.01140869],[ 61.98959942 -85.17333829  16.38465108],[ 65.03674996 -68.41639265 -31.67623323],[ 79.55896304 -40.84704689   8.06477108]
proposed,1616.7,1608.6,1297.6,1655.5,6178.3,0.093,30.1,33.43,0.0452,114.12,4.53,True,sub-001,ses-3,run-02,[ 72.92423714 -65.76342374  -3.60526297],[ 62.29381492 -86.06576448  16.01418745],[ 65.47664576 -69.4570844  -32.06689149],[ 79.84808986 -42.02144751   7.65120108]
proposed,1437.7,1447.9,708.6,1573.4,5167.6,0.2639,31.35,36.41,0.0713,111.31,8.67,True,sub-001,ses-4,run-01,[ 72.94925693 -64.12299521   5.62829083],[ 63.19348225 -82.43719046  24.99926387],[ 67.97264888 -62.42207587 -26.81395758],[ 80.14876243 -38.90285693  16.26180709]
proposed,1467.7,1403.9,996.1,1538.9,5406.7,0.1559,31.44,35.09,0.05,112.03,8.67,True,sub-001,ses-4,run-02,[ 73.29241985 -64.97779176  -1.13221817],[ 64.60310652 -84.38587685  17.64944844],[ 67.32449652 -61.90965931 -32.09086058],[ 80.29033857 -40.14224716  11.49960728]
proposed,1434.7,1613.7,1498.6,1228.6,5775.6,0.0969,41.27,43.38,0.0213,113.87,3.39,True,sub-002,ses-1,run-01,[-66.90193293 -58.1943411   38.58549776],[-69.70458289 -19.80448955  45.8181404 ],[-64.94689385 -72.13699926   2.50894277],[-47.97281417 -77.06882299  64.50304451]
proposed,1451.6,1715.7,1509.6,1269.7,5946.5,0.107,41.11,43.35,0.0224,113.34,3.69,True,sub-002,ses-1,run-02,[-66.38754771 -58.73171917  38.89983944],[-69.00003855 -20.46151549  46.65648097],[-64.372558   -72.30578174   2.81864714],[-47.56381233 -77.68582454  64.6267257 ]
proposed,1853.6,1571.2,1312.2,1627.7,6364.6,0.121,40.54,43.04,0.025,114.17,2.2,True,sub-002,ses-2,run-01,[-60.10495311 -41.46828196  65.39716897],[-68.67803006 -56.05099323  30.41594692],[-54.90078149  -3.81877817  69.31422735],[-38.49931338 -62.90428008  85.66670722]
proposed,1836.7,1560.2,1339.4,1522.0,6258.3,0.1137,40.42,43.29,0.0282,114.37,1.71,True,sub-002,ses-2,run-02,[-59.04477441 -41.7473287   64.62602852],[-68.27353423 -56.73661452  29.7345515 ],[-54.306751    -4.04710445  67.46946839],[-37.38325799 -62.97051704  84.8527376 ]
proposed,1542.6,1492.0,1390.0,1681.9,6106.4,0.0689,41.62,43.52,0.0195,114.2,1.42,True,sub-002,ses-3,run-01,[-60.73525691 -42.25531768  65.68172958],[-67.49722625 -57.9071578   32.19840114],[-56.97064474  -3.17357758  67.03565065],[-36.10622384 -60.99883494  87.43960575]
proposed,1482.4,1494.2,1354.1,1712.7,6043.4,0.0853,41.34,43.89,0.0267,113.76,1.62,True,sub-002,ses-3,run-02,[-60.48158627 -43.50301092  66.19721548],[-67.34349611 -58.78171367  32.49709362],[-56.68618738  -4.10935469  68.13393085],[-36.06837665 -62.03413733  87.41678444]
proposed,1255.8,971.2,1383.4,1479.5,5089.8,0.1503,36.39,39.25,0.0323,109.57,5.85,True,sub-002,ses-4,run-01,[ 74.41284677 -59.00088516   9.50103657],[ 60.87684117 -76.02650934 -15.10331289],[ 67.59660544 -67.88041583  43.11751802],[ 81.06193417 -26.20799298   7.68783463]
proposed,1260.9,1051.1,1550.6,1513.2,5375.9,0.1507,36.5,39.0,0.0279,110.42,5.42,True,sub-002,ses-4,run-02,[ 74.62695971 -59.92308226   9.54389823],[ 60.72243729 -76.86940793 -15.04066534],[ 67.90020271 -69.55398652  42.73134939],[ 81.21614854 -26.9852935    7.99806713]
proposed,1195.6,1256.5,1219.8,1088.5,4760.5,0.0525,41.09,44.47,0.0335,114.42,3.37,True,sub-003,ses-1,run-01,[-68.09623278 -53.73882184  47.02956864],[-67.20114945 -66.61729414  11.34130055],[-69.48123502 -13.74604301  50.21364379],[-52.46308221 -72.10007376  75.18757565]
proposed,1145.7,1269.7,1222.0,1164.8,4802.3,0.0406,40.77,44.45,0.0355,114.05,3.65,True,sub-003,ses-1,run-02,[-68.38838499 -54.90049343  47.76270878],[-67.1475693  -67.34931361  11.69503022],[-69.68742559 -14.94050208  51.2373812 ],[-52.92812668 -73.22751953  75.66567599]
proposed,1124.5,1193.4,1269.7,1023.2,4610.8,0.0787,41.1,43.91,0.027,112.88,4.03,True,sub-003,ses-2,run-01,[-67.54134004 -48.83099911  52.86509331],[-68.8339641  -60.7195794   16.29484892],[-66.26934041  -9.59573458  58.37659276],[-49.78704339 -67.71502467  79.38341677]
proposed,1121.5,1142.8,1215.4,1132.5,4612.3,0.0319,40.4,43.9,0.0342,113.6,4.0,True,sub-003,ses-2,run-02,[-66.50880629 -49.54714116  52.93986865],[-68.44419856 -61.10483731  16.31288016],[-64.96367733 -10.29702453  58.22057726],[-48.99553547 -68.45364634  78.70870285]
proposed,1514.7,1034.2,1346.0,1205.2,5100.1,0.1388,39.81,47.39,0.0775,111.56,5.18,True,sub-003,ses-3,run-01,[-66.80749899 -51.07351775  55.87546446],[-67.78923594 -62.68525372  14.70853789],[-67.42829332 -14.18446476  59.64829063],[-48.22730808 -68.55376295  81.15104732]
proposed,1529.4,1158.9,1340.1,1303.4,5331.9,0.0991,39.59,47.36,0.0791,113.03,3.45,True,sub-003,ses-3,run-02,[-67.10397188 -52.52626542  56.21132493],[-67.67222305 -63.9657865   15.02225764],[-67.03979301 -15.80817881  61.04801187],[-48.55702056 -71.17358872  80.36493571]
proposed,1043.0,1261.6,1304.9,1079.7,4689.3,0.0962,39.2,45.08,0.0629,116.13,1.13,True,sub-003,ses-4,run-01,[-67.77971022 -51.40093584  50.94067011],[-66.92798672 -67.08662851  13.39911821],[-68.24663479 -11.20088273  55.26598005],[-51.15325377 -70.01386295  75.99154433]
proposed,1117.1,1374.6,1296.8,1146.5,4935.0,0.086,39.0,44.93,0.0647,116.55,0.93,True,sub-003,ses-4,run-02,[-67.9666632  -52.26563233  51.08910802],[-67.06446011 -67.4672569   13.49179811],[-68.06680885 -12.02936109  55.72586862],[-51.72634526 -70.94917884  76.09749443]
proposed,1222.0,1352.6,1379.7,1585.8,5540.2,0.0941,35.82,38.66,0.0325,110.01,6.75,True,sub-004,ses-1,run-01,[ 76.7852908  -55.7939421    0.98051354],[ 64.77896205 -82.6353329   19.75409512],[ 74.50578241 -56.70449674 -31.26753626],[ 78.54292494 -27.61733009  20.54587498]
proposed,1304.9,1307.1,1322.5,1668.0,5602.5,0.1103,35.98,38.35,0.0264,109.95,7.16,True,sub-004,ses-1,run-02,[ 76.79723432 -55.8866756    1.43931173],[ 65.09618661 -82.72552918  19.88948606],[ 74.23530345 -57.08106154 -30.91720993],[ 78.44963257 -28.23031305  21.00578302]
proposed,1428.9,1226.4,1293.2,1393.7,5342.1,0.0601,31.69,32.41,0.0092,117.38,1.08,True,sub-004,ses-2,run-01,[ 76.67564433 -55.55911355 -11.54340757],[ 69.10638918 -78.22394243   5.32544672],[ 73.41139895 -57.20072681 -40.17842619],[ 78.3483067  -29.86097785   0.91975139]
proposed,1533.0,1231.6,1318.1,1354.1,5436.8,0.0808,31.49,32.27,0.0101,117.71,0.82,True,sub-004,ses-2,run-02,[ 76.05599558 -55.88220834 -11.32763173],[ 68.74775088 -78.64511373   5.30972562],[ 72.80385874 -57.47483019 -39.77485591],[ 77.36551355 -30.32735945   1.06517956]
proposed,1148.7,1253.6,1345.3,1464.8,5212.3,0.0894,30.81,33.06,0.0304,116.41,2.38,True,sub-004,ses-3,run-01,[ 78.20031964 -53.49047817 -10.16331245],[ 70.97793771 -74.57089595   9.68360731],[ 73.60183352 -60.04633413 -38.53307919],[ 79.52763496 -27.20733771  -1.15744316]
proposed,1307.1,1373.9,1401.7,1539.6,5622.3,0.0603,31.06,32.8,0.0244,117.08,1.79,True,sub-004,ses-3,run-02,[ 78.34074854 -54.42911844  -9.73237704],[ 71.24350312 -75.36176443   9.96320334],[ 73.67078143 -60.61015635 -38.16294052],[ 79.70753659 -27.92523753  -0.68493495]
proposed,1258.7,1293.2,1325.4,1335.7,5213.0,0.0231,31.0,32.95,0.0263,115.54,4.64,True,sub-004,ses-4,run-01,[ 78.05914933 -52.50857362  -3.86056265],[ 71.2408346  -73.75412842  15.8056917 ],[ 74.42315076 -59.66531937 -32.15410002],[ 78.87755694 -26.4519419    6.32150128]
proposed,1284.4,1305.6,1282.9,1392.2,5265.1,0.034,31.3,33.19,0.0243,115.36,4.46,True,sub-004,ses-4,run-02,[ 77.82093214 -53.10827587  -3.93692141],[ 71.42250837 -74.68511555  15.8433344 ],[ 74.28177807 -60.0010718  -32.27457891],[ 78.29952819 -26.85732344   6.51520448]
proposed,1315.2,1458.9,1183.9,1145.0,5103.0,0.0965,49.64,53.95,0.0349,110.35,3.11,True,sub-005,ses-1,run-01,[58.16155306 13.11577652 61.40644569],[24.34783072 39.9611382  73.11217073],[ 52.27866196 -32.74523428  76.69661162],[69.3179894  19.79278305 17.26474806]
proposed,1270.4,1394.4,1175.1,1128.9,4968.8,0.0818,49.61,54.03,0.0358,110.16,3.25,True,sub-005,ses-1,run-02,[57.7040843  12.98988748 61.22668354],[23.74207201 39.69820865 72.71232201],[ 51.69864556 -32.90073547  76.62835133],[68.85646092 19.64704399 17.06213215]
proposed,1138.4,1339.4,1015.2,1351.9,4844.8,0.1167,41.26,41.66,0.0045,113.55,1.8,True,sub-005,ses-2,run-01,[53.80178097 15.19126539 66.02100815],[28.49790019 42.83145862 68.51193696],[ 44.28047569 -16.02040692  83.96410373],[68.87182292 11.7226827  31.77995544]
proposed,1073.1,1257.2,933.8,1266.0,4530.1,0.122,41.24,41.91,0.0066,113.38,1.81,True,sub-005,ses-2,run-02,[54.24550727 14.3743908  67.04468259],[28.93337962 42.02890207 69.42134526],[ 44.62360537 -16.89419124  84.80602369],[69.51140386 10.97459222 32.61527678]
proposed,1267.5,1184.6,1087.1,1667.3,5206.4,0.1695,42.0,44.59,0.0272,113.14,3.07,True,sub-005,ses-3,run-01,[61.13032281  7.28692655 59.92212993],[38.953846   37.07473255 67.34744122],[ 53.34942942 -26.65514729  75.47071495],[72.56768338  4.78744456 21.42153715]
proposed,1122.3,1075.3,907.3,1510.3,4615.2,0.1914,41.94,44.8,0.0313,113.38,2.79,True,sub-005,ses-3,run-02,[60.36362303  6.12257775 61.5427701 ],[37.99834827 35.60290233 69.47804025],[ 52.62400499 -27.76323607  76.54613988],[71.71551221  4.28131635 22.77562096]
proposed,1115.7,1250.6,1016.6,1414.9,4797.9,0.1247,40.97,43.64,0.0272,113.71,1.55,True,sub-005,ses-4,run-01,[55.41235074  7.37482753 68.0280068 ],[29.69247163 33.40062813 76.17794796],[ 47.57719928 -28.82463382  81.45491286],[69.1245277  10.27260911 33.8162444 ]
proposed,1104.7,1205.9,1028.4,1421.5,4760.5,0.1241,40.98,44.3,0.036,114.44,0.66,True,sub-005,ses-4,run-02,[55.92819924  5.90831205 70.35593594],[30.03174729 30.9156539  79.38202851],[ 48.26811208 -31.23616362  83.02272175],[69.42447255  8.91313727 36.05920928]
proposed,1324.7,1156.7,1486.8,1564.6,5532.8,0.1134,35.61,36.94,0.0152,115.17,1.8,True,sub-006,ses-1,run-01,[ 70.43125116 -68.07354338   2.05511198],[ 56.02187154 -82.18292901 -22.94948166],[ 64.24386575 -81.9787409   31.72461722],[ 76.62004135 -36.12663357   0.35488863]
proposed,1430.3,1293.9,1499.3,1574.1,5797.6,0.0712,36.36,36.92,0.0071,115.13,1.77,True,sub-006,ses-1,run-02,[ 70.47384778 -68.69057331   1.87296595],[ 55.57738532 -82.88951337 -23.68667137],[ 64.37047106 -82.76393888  31.45641505],[ 76.63015897 -36.48956741   0.39607017]
proposed,1493.4,1404.7,1211.0,1637.2,5746.3,0.1075,30.23,34.11,0.0553,114.52,2.67,True,sub-006,ses-2,run-01,[ 71.45629188 -66.60156361   6.53139028],[ 62.73054442 -85.06324187  25.11924895],[ 63.57175156 -69.37900909 -23.10111874],[ 77.21131858 -42.00627967  16.84782145]
proposed,1582.9,1557.2,1365.8,1722.3,6228.2,0.0816,30.04,34.34,0.0596,115.5,1.96,True,sub-006,ses-2,run-02,[ 71.41498092 -66.77489143   6.27145318],[ 62.58906284 -85.62899977  24.55896777],[ 63.28689891 -69.51522832 -23.50760465],[ 77.09554307 -42.32956464  16.54007416]
proposed,1141.3,1260.2,1208.8,1516.9,5127.2,0.1109,31.55,32.43,0.0129,114.47,2.73,True,sub-006,ses-3,run-01,[ 71.5097225  -65.58042294   5.80057409],[ 63.21410849 -71.85631027 -21.55185058],[ 63.85599896 -82.93828844  28.09290744],[ 76.75235617 -38.57095271  13.1491057 ]
proposed,1114.9,1216.9,1200.0,1308.6,4840.4,0.0568,31.06,32.59,0.0212,114.49,2.76,True,sub-006,ses-3,run-02,[ 71.46068249 -65.55331111   5.97267426],[ 63.07322602 -72.15714287 -21.22237838],[ 63.94043656 -83.37714476  28.13570083],[ 76.26006529 -38.99260242  13.54376558]
proposed,1301.2,1440.6,1225.0,1636.5,5603.3,0.1117,31.42,33.81,0.03,115.86,2.37,True,sub-006,ses-4,run-01,[ 71.27251692 -66.60256732   8.32095597],[ 59.5740451  -89.27647066  25.05355008],[ 67.46724198 -65.36003327 -21.06300443],[ 76.83051072 -41.91132194  21.12758063]
proposed,1239.6,1359.2,1204.4,1607.8,5411.1,0.1168,31.16,33.89,0.0346,116.62,2.26,True,sub-006,ses-4,run-02,[ 71.75376422 -67.64922601   8.27760371],[ 59.99598682 -90.29008009  25.1325402 ],[ 67.79731614 -66.3533443  -21.20765914],[ 77.35499544 -43.36413711  21.32071933]
proposed,1578.5,1419.3,1464.1,1601.2,6063.2,0.0503,36.55,38.32,0.0205,115.62,1.37,True,sub-007,ses-1,run-01,[-60.77292711 -32.59617023  61.40668556],[-64.18113591 -51.90873388  34.86602237],[-61.12607196   1.47140994  55.42253007],[-40.17729693 -42.99874339  86.78813263]
proposed,1613.0,1379.0,1387.1,1680.5,6059.5,0.0885,36.89,38.43,0.0172,114.72,1.89,True,sub-007,ses-1,run-02,[-60.90761011 -33.32655356  62.15028176],[-64.25865544 -52.47163268  35.10320383],[-60.97764035   0.90328508  56.50642693],[-40.60114751 -43.47190448  87.02985595]
proposed,1302.7,1376.8,1442.8,1227.9,5350.2,0.0601,39.78,45.03,0.0509,112.83,2.61,True,sub-007,ses-2,run-01,[-63.02815652 -41.79167681  53.56930655],[-62.2043311  -59.38354858  18.83458733],[-62.95667761  -1.16420861  52.1473823 ],[-42.82597625 -58.44154519  78.1159196 ]
proposed,1261.6,1395.1,1444.3,1304.2,5405.2,0.0534,39.4,45.09,0.0558,112.45,3.08,True,sub-007,ses-2,run-02,[-63.16403899 -42.42260916  54.05487169],[-62.246121   -59.91165699  19.07131277],[-62.8396752   -1.736625    52.90598541],[-43.73898329 -59.61338741  78.36013222]
proposed,1390.7,1400.3,1385.6,1136.2,5312.8,0.0836,38.6,44.72,0.0601,109.53,4.09,True,sub-007,ses-3,run-01,[-63.45514406 -41.36101937  54.87469382],[-64.77762062  -1.49831733  48.62801049],[-62.91974986 -59.14769886  22.00955483],[-42.47935447 -52.11576812  80.50173039]
proposed,1270.4,1271.9,1342.3,1063.6,4948.2,0.0843,38.33,45.07,0.0663,108.85,4.87,True,sub-007,ses-3,run-02,[-63.74480214 -42.16498479  55.57636514],[-65.01383841  -1.96444949  49.44980709],[-63.30486258 -59.37877427  22.5158136 ],[-42.9021331  -52.4298145   81.17797686]
proposed,1441.3,1474.3,1422.3,1321.0,5659.0,0.0404,38.62,43.78,0.0553,112.89,1.44,True,sub-007,ses-4,run-01,[-62.38345651 -36.27345462  58.48118054],[-63.18888827 -56.08306351  24.83880632],[-61.87491609   2.89590979  53.24527541],[-40.59613709 -48.99993184  82.49238545]
proposed,1414.9,1504.4,1509.6,1445.7,5874.7,0.0272,38.36,44.48,0.0632,113.81,0.56,True,sub-007,ses-4,run-02,[-62.71790336 -37.21087777  59.20081598],[-63.32397801 -56.41541891  25.11422446],[-61.88776709   2.74202109  55.28245626],[-40.97272072 -50.01440949  82.86501027]
proposed,1134.7,1191.2,1267.5,1163.3,4756.8,0.0416,39.45,43.98,0.048,113.96,1.13,True,sub-009,ses-1,run-01,[-70.31147217 -45.46308265  38.50821397],[-64.74319645 -62.10415613   2.89057049],[-67.64887122  -6.32358669  40.10954829],[-55.44591955 -62.13146179  66.2207874 ]
