subject,session,run,project,extracted_mean_x,condition_in_table,n_candidates,condition_separation_mm,recommended,reason,baseline_side_ok,baseline_mean_x,swap
sub-001,ses-1,run-01,P0,70.61,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-1,run-02,P0,70.86,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-2,run-01,P0,71.15,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-2,run-02,P0,71.43,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-3,run-01,P0,69.78,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-3,run-02,P0,70.26,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-4,run-01,P0,71.02,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-001,ses-4,run-02,P0,71.4,target,2,109.77,target,matches the side of the 'target' montage,,,no
sub-002,ses-1,run-01,P0,-62.19,target,2,105.16,target,matches the side of the 'target' montage,,,no
sub-002,ses-1,run-02,P0,-61.66,target,2,105.16,target,matches the side of the 'target' montage,,,no
sub-002,ses-2,run-01,P0,-55.67,target,2,105.16,target,matches the side of the 'target' montage,,,no
sub-002,ses-2,run-02,P0,-54.97,target,2,105.16,target,matches the side of the 'target' montage,,,no
sub-002,ses-3,run-01,P0,-55.27,target,2,105.16,target,matches the side of the 'target' montage,,,no
sub-002,ses-3,run-02,P0,-55.03,target,2,105.16,target,matches the side of the 'target' montage,,,no
sub-002,ses-4,run-01,P0,70.91,unknown,2,105.16,control,matches the side of the 'control' montage,,,yes
sub-002,ses-4,run-02,P0,71.08,unknown,2,105.16,control,matches the side of the 'control' montage,,,yes
sub-003,ses-1,run-01,P0,-64.4,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-1,run-02,P0,-64.7,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-2,run-01,P0,-62.98,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-2,run-02,P0,-62.27,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-3,run-01,P0,-62.52,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-3,run-02,P0,-62.6,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-4,run-01,P0,-63.49,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-003,ses-4,run-02,P0,-63.64,target,2,105.12,target,matches the side of the 'target' montage,,,no
sub-005,ses-1,run-01,P0,50.97,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-1,run-02,P0,50.48,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-2,run-01,P0,48.92,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-2,run-02,P0,49.51,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-3,run-01,P0,56.81,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-3,run-02,P0,56.14,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-4,run-01,P0,50.5,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-005,ses-4,run-02,P0,50.84,unknown,2,109.94,target,matches the side of the 'target' montage,,,yes
sub-006,ses-1,run-01,P0,66.6,target,2,112.19,target,matches the side of the 'target' montage,,,no
sub-006,ses-1,run-02,P0,66.67,target,2,112.19,target,matches the side of the 'target' montage,,,no
sub-006,ses-2,run-01,P0,68.72,target,2,112.19,target,matches the side of the 'target' montage,,,no
sub-006,ses-2,run-02,P0,68.6,target,2,112.19,target,matches the side of the 'target' montage,,,no
