=== Extract Coordinates Log  2026-04-07 09:34:20 ===

[09:34:20] INFO  Script started
[09:34:20] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:20] INFO  Output CSV : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_MeMoSLAP_20260407.csv
[09:34:20] INFO  Log file   : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_20260407_093420.txt

[09:34:20] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:23] INFO  Found 3850 inference file(s). Starting extraction.

[09:34:24] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:25] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:25] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:26] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:27] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:28] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:29] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:29] INFO  OK       automated_electrode_extraction sub-001 unzipped  —  4 clusters, coordinates extracted.
[09:34:30] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
[09:34:31] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
[09:34:32] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
[09:34:33] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
[09:34:33] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
[09:34:34] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
[09:34:35] INFO  OK       automated_electrode_extraction sub-002 unzipped  —  4 clusters, coordinates extracted.
