=== Extract Coordinates Log  2026-09-04 08:59:38 ===

[08:59:38] INFO  Script started
[08:59:38] INFO  Network    : reduced  (not in registry)
[08:59:38] INFO  Mask glob  : *_inference_reduced.nii.gz
[08:59:38] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:38] INFO  Output CSV : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_reduced_20260904.csv
[08:59:38] INFO  Log file   : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_reduced_20260904_085938.txt

[08:59:38] INFO  Distance window : 5-125 mm
[08:59:38] INFO  Star min angle  : not enforced
[08:59:38] INFO  Star max rad CV : not enforced
[08:59:38] INFO  Audit names above: 90 mm

[08:59:38] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:41] INFO  Found 4234 inference file(s). Starting extraction.

[08:59:42] INFO  OK       sub-001 ses-1 run-01  —  4 clusters, coordinates extracted.
[08:59:43] INFO  OK       sub-001 ses-1 run-02  —  4 clusters, coordinates extracted.
[08:59:44] INFO  OK       sub-001 ses-2 run-01  —  4 clusters, coordinates extracted.
[08:59:45] INFO  OK       sub-001 ses-2 run-02  —  4 clusters, coordinates extracted.
[08:59:46] INFO  OK       sub-001 ses-3 run-01  —  4 clusters, coordinates extracted.
[08:59:47] INFO  OK       sub-001 ses-3 run-02  —  4 clusters, coordinates extracted.
[08:59:48] INFO  OK       sub-001 ses-4 run-01  —  4 clusters, coordinates extracted.
[08:59:49] INFO  OK       sub-001 ses-4 run-02  —  4 clusters, coordinates extracted.
[08:59:49] INFO  OK       sub-002 ses-1 run-01  —  4 clusters, coordinates extracted.
[08:59:50] INFO  OK       sub-002 ses-1 run-02  —  4 clusters, coordinates extracted.
[08:59:51] INFO  OK       sub-002 ses-2 run-01  —  4 clusters, coordinates extracted.
[08:59:52] INFO  OK       sub-002 ses-2 run-02  —  4 clusters, coordinates extracted.
[08:59:53] INFO  OK       sub-002 ses-3 run-01  —  4 clusters, coordinates extracted.
[08:59:54] INFO  OK       sub-002 ses-3 run-02  —  4 clusters, coordinates extracted.
[08:59:55] INFO  OK       sub-002 ses-4 run-01  —  4 clusters, coordinates extracted.
[08:59:56] INFO  OK       sub-002 ses-4 run-02  —  4 clusters, coordinates extracted.
[08:59:57] INFO  OK       sub-003 ses-1 run-01  —  4 clusters, coordinates extracted.
[08:59:58] INFO  OK       sub-003 ses-1 run-02  —  4 clusters, coordinates extracted.
[08:59:59] INFO  OK       sub-003 ses-2 run-01  —  4 clusters, coordinates extracted.
[08:59:59] INFO  OK       sub-003 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:00:00] INFO  OK       sub-003 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:00:01] INFO  OK       sub-003 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:00:02] INFO  OK       sub-003 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:00:03] INFO  OK       sub-003 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:00:04] INFO  OK       sub-004 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:00:05] INFO  OK       sub-004 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:00:06] INFO  OK       sub-004 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:00:06] INFO  OK       sub-004 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:00:07] INFO  OK       sub-004 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:00:08] INFO  OK       sub-004 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:00:09] INFO  OK       sub-004 ses-4 run-01  —  4 clusters, coordinates extracted.
