,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,X,74.08,2023-05-17
1,sub-001,ses-0,baseline,P1,Anode,Kira,manually,X,74.08,2023-05-17
2,sub-001,ses-0,baseline,P1,Anode,Sophie,half-automated,X,74.08,2023-05-17
3,sub-001,ses-0,baseline,P1,Anode,Sophie,manually,X,74.08,2023-05-17
4,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,X,64.13,2023-05-17
5,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,X,64.13,2023-05-17
6,sub-001,ses-0,baseline,P1,Cathode1,Sophie,half-automated,X,64.13,2023-05-17
7,sub-001,ses-0,baseline,P1,Cathode1,Sophie,manually,X,64.13,2023-05-17
8,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,X,66.81,2023-05-17
9,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,X,66.81,2023-05-17
10,sub-001,ses-0,baseline,P1,Cathode2,Sophie,half-automated,X,66.81,2023-05-17
11,sub-001,ses-0,baseline,P1,Cathode2,Sophie,manually,X,66.81,2023-05-17
12,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,X,80.85,2023-05-17
13,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,X,80.85,2023-05-17
14,sub-001,ses-0,baseline,P1,Cathode3,Sophie,half-automated,X,80.85,2023-05-17
15,sub-001,ses-0,baseline,P1,Cathode3,Sophie,manually,X,80.85,2023-05-17
16,sub-001,ses-1,run-01,P1,Anode,Kira,half-automated,X,73.84,2023-05-24
17,sub-001,ses-1,run-01,P1,Anode,Kira,manually,X,82.0,2023-05-24
18,sub-001,ses-1,run-01,P1,Anode,Sophie,half-automated,X,73.88,2023-05-24
19,sub-001,ses-1,run-01,P1,Anode,Sophie,manually,X,82.0,2023-05-24
20,sub-001,ses-1,run-01,P1,Cathode1,Kira,half-automated,X,65.04,
21,sub-001,ses-1,run-01,P1,Cathode1,Kira,manually,X,75.0,
22,sub-001,ses-1,run-01,P1,Cathode1,Sophie,half-automated,X,65.04,
23,sub-001,ses-1,run-01,P1,Cathode1,Sophie,manually,X,75.0,
24,sub-001,ses-1,run-01,P1,Cathode2,Kira,half-automated,X,60.64,
25,sub-001,ses-1,run-01,P1,Cathode2,Kira,manually,X,86.0,
26,sub-001,ses-1,run-01,P1,Cathode2,Sophie,half-automated,X,60.65,
27,sub-001,ses-1,run-01,P1,Cathode2,Sophie,manually,X,85.0,
28,sub-001,ses-1,run-01,P1,Cathode3,Kira,half-automated,X,80.34,2023-05-24
29,sub-001,ses-1,run-01,P1,Cathode3,Kira,manually,X,86.0,2023-05-24
30,sub-001,ses-1,run-01,P1,Cathode3,Sophie,half-automated,X,80.51,2023-05-24
31,sub-001,ses-1,run-01,P1,Cathode3,Sophie,manually,X,88.0,
32,sub-001,ses-1,run-02,P1,Anode,Kira,half-automated,X,72.89,2023-05-24
33,sub-001,ses-1,run-02,P1,Anode,Kira,manually,X,82.0,2023-05-24
34,sub-001,ses-1,run-02,P1,Anode,Sophie,half-automated,X,72.93,2023-05-24
35,sub-001,ses-1,run-02,P1,Anode,Sophie,manually,X,82.0,2023-05-24
36,sub-001,ses-1,run-02,P1,Cathode1,Kira,half-automated,X,65.0,
37,sub-001,ses-1,run-02,P1,Cathode1,Kira,manually,X,77.0,
38,sub-001,ses-1,run-02,P1,Cathode1,Sophie,half-automated,X,64.12,
39,sub-001,ses-1,run-02,P1,Cathode1,Sophie,manually,X,69.0,
40,sub-001,ses-1,run-02,P1,Cathode2,Kira,half-automated,X,60.62,
41,sub-001,ses-1,run-02,P1,Cathode2,Kira,manually,X,86.0,
42,sub-001,ses-1,run-02,P1,Cathode2,Sophie,half-automated,X,60.62,
43,sub-001,ses-1,run-02,P1,Cathode2,Sophie,manually,X,86.0,
44,sub-001,ses-1,run-02,P1,Cathode3,Kira,half-automated,X,80.46,2023-05-24
45,sub-001,ses-1,run-02,P1,Cathode3,Kira,manually,X,88.0,
46,sub-001,ses-1,run-02,P1,Cathode3,Sophie,half-automated,X,80.4,2023-05-24
47,sub-001,ses-1,run-02,P1,Cathode3,Sophie,manually,X,86.0,2023-05-24
48,sub-001,ses-2,run-01,P1,Anode,Kira,half-automated,X,73.47,2023-08-03
49,sub-001,ses-2,run-01,P1,Anode,Kira,manually,X,81.0,2023-08-03
50,sub-001,ses-2,run-01,P1,Anode,Sophie,half-automated,X,73.43,2023-08-03
51,sub-001,ses-2,run-01,P1,Anode,Sophie,manually,X,81.0,2023-08-03
52,sub-001,ses-2,run-01,P1,Cathode1,Kira,half-automated,X,63.14,
53,sub-001,ses-2,run-01,P1,Cathode1,Kira,manually,X,81.0,2023-08-03
54,sub-001,ses-2,run-01,P1,Cathode1,Sophie,half-automated,X,63.06,
55,sub-001,ses-2,run-01,P1,Cathode1,Sophie,manually,X,69.0,
56,sub-001,ses-2,run-01,P1,Cathode2,Kira,half-automated,X,68.43,
57,sub-001,ses-2,run-01,P1,Cathode2,Kira,manually,X,75.0,
58,sub-001,ses-2,run-01,P1,Cathode2,Sophie,half-automated,X,67.47,
59,sub-001,ses-2,run-01,P1,Cathode2,Sophie,manually,X,75.0,
60,sub-001,ses-2,run-01,P1,Cathode3,Kira,half-automated,X,80.52,2023-08-03
61,sub-001,ses-2,run-01,P1,Cathode3,Kira,manually,X,81.0,
62,sub-001,ses-2,run-01,P1,Cathode3,Sophie,half-automated,X,80.48,2023-08-03
63,sub-001,ses-2,run-01,P1,Cathode3,Sophie,manually,X,87.0,
64,sub-001,ses-2,run-02,P1,Anode,Kira,half-automated,X,73.42,2023-08-03
65,sub-001,ses-2,run-02,P1,Anode,Kira,manually,X,88.0,2023-08-03
66,sub-001,ses-2,run-02,P1,Anode,Sophie,half-automated,X,72.44,2023-08-03
67,sub-001,ses-2,run-02,P1,Anode,Sophie,manually,X,81.0,2023-08-03
68,sub-001,ses-2,run-02,P1,Cathode1,Kira,half-automated,X,63.16,
69,sub-001,ses-2,run-02,P1,Cathode1,Kira,manually,X,69.0,
70,sub-001,ses-2,run-02,P1,Cathode1,Sophie,half-automated,X,62.2,
71,sub-001,ses-2,run-02,P1,Cathode1,Sophie,manually,X,68.0,
72,sub-001,ses-2,run-02,P1,Cathode2,Kira,half-automated,X,68.47,
73,sub-001,ses-2,run-02,P1,Cathode2,Kira,manually,X,72.0,
74,sub-001,ses-2,run-02,P1,Cathode2,Sophie,half-automated,X,68.43,
75,sub-001,ses-2,run-02,P1,Cathode2,Sophie,manually,X,73.0,
76,sub-001,ses-2,run-02,P1,Cathode3,Kira,half-automated,X,80.47,2023-08-03
77,sub-001,ses-2,run-02,P1,Cathode3,Kira,manually,X,81.0,
78,sub-001,ses-2,run-02,P1,Cathode3,Sophie,half-automated,X,80.47,2023-08-03
79,sub-001,ses-2,run-02,P1,Cathode3,Sophie,manually,X,87.0,
80,sub-001,ses-4,run-01,P1,Anode,Kira,half-automated,X,73.05,2023-10-26
81,sub-001,ses-4,run-01,P1,Anode,Kira,manually,X,76.0,2023-10-26
82,sub-001,ses-4,run-01,P1,Anode,Sophie,half-automated,X,73.08,2023-10-26
83,sub-001,ses-4,run-01,P1,Anode,Sophie,manually,X,81.0,2023-10-26
84,sub-001,ses-4,run-01,P1,Cathode1,Kira,half-automated,X,62.89,
85,sub-001,ses-4,run-01,P1,Cathode1,Kira,manually,X,71.0,
86,sub-001,ses-4,run-01,P1,Cathode1,Sophie,half-automated,X,62.89,
87,sub-001,ses-4,run-01,P1,Cathode1,Sophie,manually,X,71.0,
88,sub-001,ses-4,run-01,P1,Cathode2,Kira,half-automated,X,66.98,
89,sub-001,ses-4,run-01,P1,Cathode2,Kira,manually,X,72.0,
90,sub-001,ses-4,run-01,P1,Cathode2,Sophie,half-automated,X,67.92,
91,sub-001,ses-4,run-01,P1,Cathode2,Sophie,manually,X,73.0,
92,sub-001,ses-4,run-01,P1,Cathode3,Kira,half-automated,X,79.86,2023-10-26
93,sub-001,ses-4,run-01,P1,Cathode3,Kira,manually,X,88.0,
94,sub-001,ses-4,run-01,P1,Cathode3,Sophie,half-automated,X,79.91,2023-10-26
95,sub-001,ses-4,run-01,P1,Cathode3,Sophie,manually,X,88.0,
96,sub-001,ses-4,run-02,P1,Anode,Kira,half-automated,X,71.72,2023-10-26
97,sub-001,ses-4,run-02,P1,Anode,Kira,manually,X,82.0,2023-10-26
98,sub-001,ses-4,run-02,P1,Anode,Sophie,half-automated,X,71.71,2023-10-26
99,sub-001,ses-4,run-02,P1,Anode,Sophie,manually,X,82.0,2023-10-26
100,sub-001,ses-4,run-02,P1,Cathode1,Kira,half-automated,X,63.35,
101,sub-001,ses-4,run-02,P1,Cathode1,Kira,manually,X,70.0,2023-10-26
102,sub-001,ses-4,run-02,P1,Cathode1,Sophie,half-automated,X,62.49,
103,sub-001,ses-4,run-02,P1,Cathode1,Sophie,manually,X,72.0,
104,sub-001,ses-4,run-02,P1,Cathode2,Kira,half-automated,X,66.73,
105,sub-001,ses-4,run-02,P1,Cathode2,Kira,manually,X,75.0,2023-10-26
106,sub-001,ses-4,run-02,P1,Cathode2,Sophie,half-automated,X,65.92,
107,sub-001,ses-4,run-02,P1,Cathode2,Sophie,manually,X,72.0,2023-10-26
