subject,session,run,anode_mni,cathode1_mni,cathode2_mni,cathode3_mni
sub-015,ses-4,run-01,[ 62.45807333 -78.70866856  19.23089319],[ 73.74264982 -58.12411367 -25.22192636],[ 74.76760455 -56.94010332   3.77684037],[ 77.3542523  -31.77400077  16.07129767]
sub-015,ses-4,run-02,[ 62.66004493 -78.95893767  19.3167154 ],[ 74.11105267 -58.66667002 -24.79001557],[ 74.98627826 -57.05931234   4.14912706],[ 77.07454713 -32.22335112  16.550334  ]
sub-015,ses-2,run-01,[ 67.81879078 -71.05110898 -21.96655738],[ 69.27287391 -62.97122959  26.27702212],[ 75.25942375 -55.0434334   -0.6393406 ],[ 79.7879157  -26.52797194  -6.07682686]
sub-015,ses-2,run-02,[ 67.84051749 -71.7168058  -21.86191585],[ 69.79775438 -64.05278391  26.72256988],[ 75.41598717 -55.80927683  -0.27017566],[ 79.64894487 -27.30276281  -5.90251177]
sub-015,ses-1,run-01,[ 66.94722492 -68.17275427  29.03659595],[ 73.86821062 -59.66723789 -21.57696763],[ 76.39765431 -50.26110688   7.09584331],[ 78.7209996  -22.49316176  12.48395175]
sub-015,ses-1,run-02,[ 67.23822915 -69.91359518  29.00929305],[ 73.63330397 -60.34437807 -21.23962891],[ 76.3591551  -51.25999399   7.23386535],[ 78.41249555 -23.69348223  13.13468497]
sub-015,ses-3,run-01,[ 64.03181393 -75.9684256   21.71434708],[ 75.35720971 -54.21137709 -22.50648583],[ 75.2128531  -53.25180214   7.01676685],[ 77.17405653 -27.65754696  19.98922505]
sub-024,ses-4,run-01,[-64.4933077  -45.822149    75.31558876],[-61.79256414 -79.31429924  18.53033944],[-60.03018166 -78.52220058  57.90443878],[-32.93229015 -95.30508373  72.33785026]
sub-024,ses-4,run-02,[-64.58916252 -48.13408035  76.36380104],[-61.97202991 -80.30691996  17.61781176],[-60.3234329  -80.50478987  58.30043167],[-33.21886131 -97.20700671  72.5454385 ]
sub-024,ses-2,run-01,[-69.46161093 -14.87865562  54.10261205],[-69.80617914 -54.82756249  47.35369398],[-66.08433102 -64.8641746    9.52355607],[-53.85197621 -73.79712973  74.18879871]
sub-024,ses-2,run-02,[-69.55931561 -15.82365447  54.40992575],[-69.68847895 -55.79888424  47.82530123],[-66.22700062 -65.60413368  10.12090767],[-54.22891764 -74.79747468  74.55381277]
sub-024,ses-1,run-01,[-71.48816834 -22.91380469  52.78172929],[-68.29201419 -61.31589068  46.8965416 ],[-65.06065059 -69.6762386   10.20885717],[-50.71334292 -79.29899439  72.99524733]
sub-024,ses-1,run-02,[-70.33736346 -23.5585432   53.95184096],[-67.7741761  -62.12194828  47.52999084],[-64.60497329 -70.74558047  10.36135189],[-51.01971279 -80.47724142  73.29859478]
sub-024,ses-3,run-01,[-70.8509837  -49.38618666  55.69409787],[-68.46057568 -11.32975344  63.15820916],[-67.92690069 -60.97276924  18.27493472],[-52.27094907 -70.07959942  80.59734088]
sub-024,ses-3,run-02,[-69.88879708 -53.17281952  56.35413748],[-67.97464407 -14.50871747  65.04025396],[-67.57021925 -62.68228412  18.5399166 ],[-51.46792536 -74.27107389  80.58733988]
sub-009,ses-1,run-01,[-70.47745209 -45.31602037  37.9003189 ],[-64.87036802 -63.19925425   3.05419901],[-68.09255219  -6.99583957  40.17430861],[-55.37563696 -61.85746178  66.82171703]
sub-009,ses-1,run-02,[-70.33795239 -46.06461943  38.11310903],[-64.70880004 -63.23185141   3.19324065],[-67.92269827  -7.67053364  41.36765735],[-55.08678659 -62.75460529  66.70172145]
sub-022,ses-4,run-01,[ 70.06684442 -67.95644012 -22.30937323],[ 73.56576838 -70.9658244   24.65871273],[ 79.22692568 -55.54486861   0.70843283],[ 81.47464425 -28.87092226   6.88114177]
sub-022,ses-4,run-02,[ 70.79915474 -69.58878531 -22.62573084],[ 74.15554869 -72.1478913   24.61453029],[ 79.74905607 -56.84651949   0.77818869],[ 81.53775439 -29.83908036   5.97823062]
sub-022,ses-2,run-01,[ 68.45709009 -80.56384172  26.0586459 ],[ 72.42254863 -64.40823816 -22.76623589],[ 77.03746541 -61.02598416   7.10287931],[ 82.10145353 -35.40048092  15.52955697]
sub-022,ses-2,run-02,[ 68.98937771 -81.77186825  26.193018  ],[ 73.18528022 -65.35187504 -22.56679211],[ 77.67895661 -62.50333421   7.3219338 ],[ 82.56710709 -36.90900695  15.72469239]
sub-022,ses-1,run-01,[ 68.69016086 -79.90635494  23.37162668],[ 75.64613009 -56.04261167 -23.1504416 ],[ 78.38412217 -57.23642955   7.26193222],[ 81.84574893 -32.12856679  20.2640841 ]
sub-022,ses-1,run-02,[ 68.7597807  -80.89717842  23.62849898],[ 75.7159616  -56.33465717 -22.6490313 ],[ 78.4611916  -57.9973602    7.63006078],[ 81.70513325 -32.9024417   20.6282541 ]
sub-058,ses-4,run-01,[31.89269042 63.53694729 60.29822576],[37.23327375  1.55339107 82.67471523],[51.70036278 30.38348985 60.50086419],[67.16067577 20.70324463 28.02633695]
sub-058,ses-4,run-02,[31.44008628 62.80134574 62.47355094],[3.77572243e+01 7.99142604e-02 8.33074145e+01],[52.12877857 29.25791933 61.37347853],[67.02833661 20.06757618 28.72089528]
sub-058,ses-2,run-01,[28.67311612 59.61540428 66.88570804],[40.81786225 -3.15815815 81.1096523 ],[50.57761098 28.81125533 62.54697132],[66.36503251 24.87700261 28.48911857]
sub-058,ses-2,run-02,[29.63397322 57.61871869 69.00105332],[41.80622199 -5.07620905 81.86080713],[51.60511887 27.13384756 63.98484994],[66.79329544 23.61766737 29.51377784]
sub-058,ses-1,run-01,[23.99653022 60.18633557 69.17871466],[31.12059851 -2.99732887 86.59020874],[45.03906962 27.8641755  68.90897033],[64.79090678 22.52354209 38.34763576]
sub-058,ses-1,run-02,[24.46349289 58.66704751 70.5531322 ],[31.58186038 -4.48790294 87.62559784],[45.45034715 26.60593622 69.91852062],[65.07249997 21.60534689 38.71607327]
sub-058,ses-3,run-01,[22.01741597 68.73701033 61.96028022],[33.65624061 12.00382035 83.87096644],[46.09330814 41.0849052  63.92023908],[64.0109695  32.68682693 31.06592447]
sub-058,ses-3,run-02,[22.66544613 67.35024048 63.54868321],[34.13289145 10.74423699 85.29425566],[46.52194923 40.07135309 65.2499607 ],[63.98429228 32.17852527 32.08815813]
sub-011,ses-4,run-01,[12.32362986 57.05336139 61.07469187],[ 3.42250991e+01 -1.94375450e-02  8.51062895e+01],[40.83926409 33.534461   64.68552274],[61.60497042 29.0483314  34.56077253]
sub-011,ses-4,run-02,[11.57690506 56.09635117 60.91497789],[34.19313186 -0.60637117 85.87178413],[39.98019566 32.75882843 64.68609259],[61.1269909  28.26821781 34.38793564]
sub-011,ses-2,run-01,[26.10536572 52.19281535 59.44576847],[43.49865474 -6.27422858 79.08460191],[51.05840501 25.74541952 58.41794333],[67.23462173 20.82624224 23.26287313]
sub-011,ses-2,run-02,[25.38885311 52.44573056 56.05803505],[42.50443786 -5.69293263 77.10438133],[50.43870111 25.80288878 55.81248707],[67.34046978 20.52812356 21.01150125]
sub-011,ses-1,run-01,[23.48902474 57.56351938 56.43030876],[41.06505368  1.71291885 79.18173577],[49.15178128 30.05861355 58.4272201 ],[65.41511241 25.82035077 25.9338033 ]
sub-011,ses-1,run-02,[23.17781758 56.18632606 55.78921435],[41.49909245  0.23888032 77.85248885],[48.72081817 29.19030664 57.36599658],[65.32878807 24.08676111 24.47842478]
sub-011,ses-3,run-01,[25.91987026 57.20593188 54.25403052],[50.61144235 -0.63424311 70.55936815],[52.97508878 32.4517545  50.72507514],[65.98420477 27.61516619 15.94702314]
sub-011,ses-3,run-02,[25.67657314 56.0114406  55.34101987],[50.53438822 -1.28286177 70.58755698],[52.80661967 31.7998474  51.16148854],[65.68007366 27.49709349 15.77458692]
sub-037,ses-4,run-01,[33.67371687 56.16083601 76.55500547],[56.64176267 -3.43909172 82.80486503],[60.61028908 33.29231031 69.45793091],[76.43071632 37.34787686 34.22655181]
sub-037,ses-4,run-02,[34.47836225 54.27646123 79.48545868],[57.28661391 -5.07782093 84.98786794],[61.24060728 31.84679466 71.84237987],[76.73157738 36.21212416 36.27461551]
sub-037,ses-2,run-01,[37.5062335  62.91498724 67.87548994],[60.13663044  2.33030703 79.08430618],[64.38087618 36.73115255 61.79897905],[77.67625328 34.26318878 27.07823784]
sub-037,ses-2,run-02,[37.62869184 61.84416947 69.08147769],[60.57609953  1.44183748 79.43247927],[64.58698332 35.90964703 62.53992597],[77.54293158 33.68672992 27.91036003]
sub-037,ses-1,run-01,[44.01547391 59.09673676 66.92682967],[61.91443545 -2.20552638 78.27924268],[68.95506781 30.64194157 61.56211398],[82.03224226 29.22479621 25.86609037]
sub-037,ses-1,run-02,[45.62617484 56.48000012 70.09410923],[63.4148663  -5.01838661 79.83916552],[70.34910019 27.90520977 63.9148551 ],[82.9361525  26.923046   28.73393195]
sub-037,ses-3,run-01,[35.29478945 67.14333576 65.59043654],[58.89805647  8.46824851 78.56804861],[63.63108616 42.09785172 59.7129981 ],[75.39661903 40.32416057 24.29485456]
sub-037,ses-3,run-02,[34.58810662 66.64937077 65.4077948 ],[57.86029716  8.4664995  78.6701049 ],[63.25632612 41.96678884 59.54009396],[75.54779856 40.57744211 23.7891789 ]
sub-046,ses-4,run-01,[39.86963755 40.68712304 69.24547637],[ 55.18179218 -22.49186409  74.93804862],[61.89421682 12.07737353 57.33317376],[69.74355546  8.23663998 21.03769595]
