"Subject","Session","run","Experiment","Electrode","Rater","Method","X","Y","Z","Euclidean_Norm"
"sub-001","ses-1","run-01","P1","Anode","Kira","manually",82,-63,5,103.527774051218
"sub-001","ses-1","run-01","P1","Anode","Network","full-automated",74.03438235,-62.25661164,5.35981775,96.8798385070547
"sub-001","ses-1","run-01","P1","Cathode1","Kira","manually",75,-82,32,115.641687984913
"sub-001","ses-1","run-01","P1","Cathode1","Network","full-automated",65.69375241,-79.22156008,32.02806077,107.784606340155
"sub-001","ses-1","run-01","P1","Cathode2","Kira","manually",86,-79,-28,120.087468122198
"sub-001","ses-1","run-01","P1","Cathode2","Network","full-automated",62.08438326,-74.66513246,-23.6758258,99.9494741224578
"sub-001","ses-1","run-01","P1","Cathode3","Kira","manually",86,-32,5,91.8966811152612
"sub-001","ses-1","run-01","P1","Cathode3","Network","full-automated",80.21152827,-30.46279018,5.95557558,86.0077887952528
"sub-001","ses-1","run-02","P1","Anode","Kira","manually",82,-63,2,103.426302263979
"sub-001","ses-1","run-02","P1","Anode","Network","full-automated",74.31448888,-63.54090327,4.37660068,97.8736138056387
"sub-001","ses-1","run-02","P1","Cathode1","Kira","manually",77,-82,31,116.679046962169
"sub-001","ses-1","run-02","P1","Cathode1","Network","full-automated",65.64335464,-80.20021459,31.07104324,108.196738198047
"sub-001","ses-1","run-02","P1","Cathode2","Kira","manually",86,-78,-29,119.670380629461
"sub-001","ses-1","run-02","P1","Cathode2","Network","full-automated",62.35384332,-75.31011973,-24.71719544,100.849172832211
"sub-001","ses-1","run-02","P1","Cathode3","Kira","manually",88,-32,3,93.6856445780249
"sub-001","ses-1","run-02","P1","Cathode3","Network","full-automated",80.6634211,-31.39190895,5.25464362,86.7159197071346
"sub-001","ses-2","run-01","P1","Anode","Kira","manually",81,-58,-7,99.8699153899712
"sub-001","ses-2","run-01","P1","Anode","Network","full-automated",73.14145428,-59.89268912,-3.79653188,94.6108883719742
"sub-001","ses-2","run-01","P1","Cathode1","Kira","manually",81,-60,-6,100.980196078241
"sub-001","ses-2","run-01","P1","Cathode1","Network","full-automated",62.83993349,-82.11108354,10.11318403,103.89111498278
"sub-001","ses-2","run-01","P1","Cathode2","Kira","manually",75,-59,-37,102.347447452294
"sub-001","ses-2","run-01","P1","Cathode2","Network","full-automated",68.23528819,-56.80265332,-32.49096674,94.5423656265499
"sub-001","ses-2","run-01","P1","Cathode3","Kira","manually",81,-38,10,90.0277734924062
"sub-001","ses-2","run-01","P1","Cathode3","Network","full-automated",79.61771935,-36.57420478,10.24953529,88.2139822445722
"sub-001","ses-2","run-02","P1","Anode","Kira","manually",88,-37,8,95.7966596494888
