tag,network,dataset,loss,fold,seed,params,best_val,best_iter,test_dice,test_dice_sd,test_hd,test_iou,host
merged_ablation,UNKNOWN,?,dicefocal,single,?,"**7,751,240**",,,,,,,
paper_attention_unet,UNKNOWN,?,dicefocal,single,?,"23,625,986",0.6739,39500,0.7185,0.048,12.9206,0.5627,vision-01
a_unet_baseline_HGW_cv5f0_seed1001_a_baseline_dicece,a_baseline,HGW,dicece,0,1001,"7,751,240",0.7151,32500,0.6475,0.21,inf,0.5049,vision-06
a_unet_baseline_HGW_cv5f1_seed1001_a_baseline_dicece,a_baseline,HGW,dicece,1,1001,"7,751,240",0.7092,25000,0.5927,0.192,inf,0.441,vision-08
a_unet_baseline_HGW_cv5f2_seed1001_a_baseline_dicece,a_baseline,HGW,dicece,2,1001,"7,751,240",0.7183,41000,0.6684,0.0864,65.6088,0.508,vision-08
a_unet_baseline_HGW_cv5f3_seed1001_a_baseline_dicece,a_baseline,HGW,dicece,3,1001,"7,751,240",0.7086,26000,0.6479,0.2084,58.297,0.5059,vision-08
a_unet_baseline_HGW_cv5f4_seed1001_a_baseline_dicece,a_baseline,HGW,dicece,4,1001,"7,751,240",0.7107,50000,0.6602,0.0892,39.6818,0.4992,vision-08
a_unet_baseline_HGW_cv5f0_seed1001_a_baseline,a_baseline,HGW,dicefocal,0,1001,"7,751,240",0.7071,31000,0.4981,0.2763,inf,0.3732,vision-01
a_unet_baseline_HGW_cv5f1_seed1001_a_baseline,a_baseline,HGW,dicefocal,1,1001,"7,751,240",0.7092,48000,0.6461,0.183,48.1236,0.4975,vision-01
a_unet_baseline_HGW_cv5f2_seed1001_a_baseline,a_baseline,HGW,dicefocal,2,1001,"7,751,240",0.7117,25000,0.6642,0.0848,77.5062,0.5032,vision-01
a_unet_baseline_HGW_cv5f3_seed1001_a_baseline,a_baseline,HGW,dicefocal,3,1001,"7,751,240",0.7219,42500,0.7061,0.0829,68.4454,0.5518,vision-01
a_unet_baseline_HGW_cv5f4_seed1001_a_baseline,a_baseline,HGW,dicefocal,4,1001,"7,751,240",0.7137,49500,0.6707,0.0985,71.0934,0.5131,vision-01
b_proposed_no_attention_HGW_cv5f0_seed1001_b_no_attention_dicece,b_no_attention,HGW,dicece,0,1001,"7,912,874",0.7043,41500,0.6644,0.0975,51.1049,0.5047,vision-05
b_proposed_no_attention_HGW_cv5f1_seed1001_b_no_attention_dicece,b_no_attention,HGW,dicece,1,1001,"7,912,874",0.7032,38500,0.5957,0.2187,33.9195,0.4522,vision-05
b_proposed_no_attention_HGW_cv5f2_seed1001_b_no_attention_dicece,b_no_attention,HGW,dicece,2,1001,"7,912,874",0.7132,47000,0.6803,0.069,31.395,0.5196,vision-06
b_proposed_no_attention_HGW_cv5f3_seed1001_b_no_attention_dicece,b_no_attention,HGW,dicece,3,1001,"7,912,874",0.6995,48500,0.6432,0.2012,15.4639,0.498,vision-06
b_proposed_no_attention_HGW_cv5f4_seed1001_b_no_attention_dicece,b_no_attention,HGW,dicece,4,1001,"7,912,874",0.7097,48000,0.5616,0.2255,35.6035,0.4195,vision-06
b_proposed_no_attention_HGW_cv5f0_seed1001_b_no_attention,b_no_attention,HGW,dicefocal,0,1001,"7,912,874",0.7124,41500,0.6679,0.1297,25.8236,0.5137,vision-01
b_proposed_no_attention_HGW_cv5f1_seed1001_b_no_attention,b_no_attention,HGW,dicefocal,1,1001,"7,912,874",0.7043,39500,0.6606,0.067,46.4019,0.497,vision-01
b_proposed_no_attention_HGW_cv5f2_seed1001_b_no_attention,b_no_attention,HGW,dicefocal,2,1001,"7,912,874",0.706,33500,0.6644,0.0743,28.1711,0.5021,vision-01
b_proposed_no_attention_HGW_cv5f3_seed1001_b_no_attention,b_no_attention,HGW,dicefocal,3,1001,"7,912,874",0.7069,33500,0.6528,0.1328,18.6135,0.4964,vision-05
