,Electrode,run,Session,Subject,Dimension,Coordinates,Experiment,date
0,Anode,run-01,ses-4,sub-015,X,74.02491272985935,P1,2023-10-01
1,Cathode1,run-01,ses-4,sub-015,X,71.40480265393853,P1,2023-10-01
2,Cathode2,run-01,ses-4,sub-015,X,63.595879185944796,P1,2023-10-01
3,Cathode3,run-01,ses-4,sub-015,X,77.28292102366686,P1,2023-10-01
4,Anode,run-02,ses-4,sub-015,X,74.02491272985935,P1,2023-10-01
5,Cathode1,run-02,ses-4,sub-015,X,73.22178736329079,P1,2023-10-01
6,Cathode2,run-02,ses-4,sub-015,X,62.703772492706776,P1,2023-10-01
7,Cathode3,run-02,ses-4,sub-015,X,77.1822315491736,P1,2023-10-01
8,Anode,run-01,ses-2,sub-015,X,74.20802180469036,P1,2023-08-31
9,Cathode1,run-01,ses-2,sub-015,X,69.02300668507814,P1,2023-08-31
10,Cathode2,run-01,ses-2,sub-015,X,70.22372114285827,P1,2023-08-31
11,Cathode3,run-01,ses-2,sub-015,X,82.02070623636246,P1,2023-08-31
12,Anode,run-02,ses-2,sub-015,X,75.14461543038487,P1,2023-08-31
13,Cathode1,run-02,ses-2,sub-015,X,68.16227839514613,P1,2023-08-31
14,Cathode2,run-02,ses-2,sub-015,X,70.26165381073952,P1,2023-08-31
15,Cathode3,run-02,ses-2,sub-015,X,80.98342313617468,P1,2023-08-31
16,Anode,run-01,ses-1,sub-015,X,75.9908422715962,P1,2023-06-14
17,Cathode1,run-01,ses-1,sub-015,X,74.93013541400433,P1,2023-06-14
18,Cathode2,run-01,ses-1,sub-015,X,67.25049398466945,P1,2023-06-14
19,Cathode3,run-01,ses-1,sub-015,X,78.51502880826592,P1,2023-06-14
20,Anode,run-02,ses-1,sub-015,X,75.99739653617144,P1,2023-06-14
21,Cathode1,run-02,ses-1,sub-015,X,72.2275982759893,P1,2023-06-14
22,Cathode2,run-02,ses-1,sub-015,X,67.26360251381993,P1,2023-06-14
23,Cathode3,run-02,ses-1,sub-015,X,78.55296147614717,P1,2023-06-14
24,Anode,run-01,ses-3,sub-015,X,74.9666677005589,P1,2023-09-24
25,Cathode1,run-01,ses-3,sub-015,X,73.28970551490784,P1,2023-09-24
26,Cathode2,run-01,ses-3,sub-015,X,65.47422778233886,P1,2023-09-24
27,Cathode3,run-01,ses-3,sub-015,X,77.18739289417863,P1,2023-09-24
28,Anode,run-02,ses-3,sub-015,X,74.9666677005589,P1,2023-09-24
29,Cathode1,run-02,ses-3,sub-015,X,75.95430998504162,P1,2023-09-24
30,Cathode2,run-02,ses-3,sub-015,X,63.57621639221907,P1,2023-09-24
31,Cathode3,run-02,ses-3,sub-015,X,77.18739289417863,P1,2023-09-24
32,Anode,run-01,ses-2,sub-024,X,-69.06585499458015,P3,2023-08-10
33,Cathode1,run-01,ses-2,sub-024,X,-52.153904577717185,P3,2023-08-10
34,Cathode2,run-01,ses-2,sub-024,X,-65.55729214195162,P3,2023-08-10
35,Cathode3,run-01,ses-2,sub-024,X,-69.12167223356664,P3,2023-08-10
36,Anode,run-02,ses-2,sub-024,X,-69.06585499458015,P3,2023-08-10
37,Cathode1,run-02,ses-2,sub-024,X,-54.115642599761486,P3,2023-08-10
38,Cathode2,run-02,ses-2,sub-024,X,-65.62347780819982,P3,2023-08-10
39,Cathode3,run-02,ses-2,sub-024,X,-71.0214106850326,P3,2023-08-10
40,Anode,run-01,ses-1,sub-024,X,-68.37778682820499,P3,2023-06-15
41,Cathode1,run-01,ses-1,sub-024,X,-49.71396918501705,P3,2023-06-15
42,Cathode2,run-01,ses-1,sub-024,X,-64.94672343879938,P3,2023-06-15
43,Cathode3,run-01,ses-1,sub-024,X,-71.36908339895308,P3,2023-06-15
44,Anode,run-02,ses-1,sub-024,X,-67.49828936439008,P3,2023-06-15
45,Cathode1,run-02,ses-1,sub-024,X,-49.815340732224286,P3,2023-06-15
46,Cathode2,run-02,ses-1,sub-024,X,-63.20322840381414,P3,2023-06-15
47,Cathode3,run-02,ses-1,sub-024,X,-71.3535835063085,P3,2023-06-15
48,Anode,run-01,ses-3,sub-024,X,-69.56373835355043,P3,2023-11-09
49,Cathode1,run-01,ses-3,sub-024,X,-50.1372946863994,P3,2023-11-09
50,Cathode2,run-01,ses-3,sub-024,X,-67.0289168106392,P3,2023-11-09
51,Cathode3,run-01,ses-3,sub-024,X,-67.097934640944,P3,2023-11-09
52,Anode,run-02,ses-3,sub-024,X,-68.8052984252572,P3,2023-11-09
53,Cathode1,run-02,ses-3,sub-024,X,-51.289907006546855,P3,2023-11-09
54,Cathode2,run-02,ses-3,sub-024,X,-66.26629078667611,P3,2023-11-09
55,Cathode3,run-02,ses-3,sub-024,X,-68.13367552123964,P3,2023-11-09
64,Anode,run-01,ses-2,sub-022,X,77.99645601166412,P1,2023-11-09
65,Cathode1,run-01,ses-2,sub-022,X,72.21939128171653,P1,2023-11-09
66,Cathode2,run-01,ses-2,sub-022,X,69.00211160629988,P1,2023-11-09
67,Cathode3,run-01,ses-2,sub-022,X,82.87866722699255,P1,2023-11-09
68,Anode,run-02,ses-2,sub-022,X,77.19588159723207,P1,2023-11-09
69,Cathode1,run-02,ses-2,sub-022,X,72.21939128171653,P1,2023-11-09
70,Cathode2,run-02,ses-2,sub-022,X,69.00211160629988,P1,2023-11-09
71,Cathode3,run-02,ses-2,sub-022,X,83.7321960250847,P1,2023-11-09
72,Anode,run-01,ses-1,sub-022,X,79.60151517763734,P1,2023-07-02
73,Cathode1,run-01,ses-1,sub-022,X,75.37655523000285,P1,2023-07-02
74,Cathode2,run-01,ses-1,sub-022,X,69.86346107861027,P1,2023-07-02
75,Cathode3,run-01,ses-1,sub-022,X,82.70807306468487,P1,2023-07-02
76,Anode,run-02,ses-1,sub-022,X,78.74798637954518,P1,2023-07-02
77,Cathode1,run-02,ses-1,sub-022,X,75.42168893944472,P1,2023-07-02
78,Cathode2,run-02,ses-1,sub-022,X,69.85955074150115,P1,2023-07-02
79,Cathode3,run-02,ses-1,sub-022,X,82.71198340179399,P1,2023-07-02
80,Anode,run-01,ses-4,sub-011,X,40.6831445870921,P7,2023-09-28
81,Cathode1,run-01,ses-4,sub-011,X,61.25008659530431,P7,2023-09-28
82,Cathode2,run-01,ses-4,sub-011,X,35.42789018293843,P7,2023-09-28
83,Cathode3,run-01,ses-4,sub-011,X,12.47693482041359,P7,2023-09-28
84,Anode,run-02,ses-4,sub-011,X,40.66365419747308,P7,2023-09-28
85,Cathode1,run-02,ses-4,sub-011,X,61.23059620568529,P7,2023-09-28
86,Cathode2,run-02,ses-4,sub-011,X,36.28214118396863,P7,2023-09-28
87,Cathode3,run-02,ses-4,sub-011,X,10.65802657743916,P7,2023-09-28
88,Anode,run-01,ses-2,sub-011,X,50.394931455142796,P7,2023-09-07
89,Cathode1,run-01,ses-2,sub-011,X,69.12353378115222,P7,2023-09-07
90,Cathode2,run-01,ses-2,sub-011,X,44.24644527072087,P7,2023-09-07
91,Cathode3,run-01,ses-2,sub-011,X,26.755394259933382,P7,2023-09-07
92,Anode,run-02,ses-2,sub-011,X,51.291401808615774,P7,2023-09-07
93,Cathode1,run-02,ses-2,sub-011,X,69.11705663474277,P7,2023-09-07
94,Cathode2,run-02,ses-2,sub-011,X,44.28866462316364,P7,2023-09-07
95,Cathode3,run-02,ses-2,sub-011,X,25.8751757228747,P7,2023-09-07
96,Anode,run-01,ses-1,sub-011,X,48.70915841590613,P7,2023-07-05
97,Cathode1,run-01,ses-1,sub-011,X,63.89733725367114,P7,2023-07-05
98,Cathode2,run-01,ses-1,sub-011,X,43.50260051060468,P7,2023-07-05
99,Cathode3,run-01,ses-1,sub-011,X,24.17968696402386,P7,2023-07-05
100,Anode,run-02,ses-1,sub-011,X,48.68642945308238,P7,2023-07-05
101,Cathode1,run-02,ses-1,sub-011,X,64.79704618034884,P7,2023-07-05
102,Cathode2,run-02,ses-1,sub-011,X,43.50260051060468,P7,2023-07-05
103,Cathode3,run-02,ses-1,sub-011,X,23.24099725810811,P7,2023-07-05
104,Anode,run-01,ses-3,sub-011,X,51.47329246159643,P7,2023-09-21
105,Cathode1,run-01,ses-3,sub-011,X,49.80062194773927,P7,2023-09-21
106,Cathode2,run-01,ses-3,sub-011,X,25.07291874429211,P7,2023-09-21
107,Cathode3,run-01,ses-3,sub-011,X,66.62254947051406,P7,2023-09-21
108,Anode,run-02,ses-3,sub-011,X,52.31129164621234,P7,2023-09-21
109,Cathode1,run-02,ses-3,sub-011,X,66.57709154486656,P7,2023-09-21
110,Cathode2,run-02,ses-3,sub-011,X,50.65487294876948,P7,2023-09-21
111,Cathode3,run-02,ses-3,sub-011,X,25.95313728135079,P7,2023-09-21
112,Anode,run-01,ses-4,sub-037,X,60.49960532411933,P7,2023-10-29
113,Cathode1,run-01,ses-4,sub-037,X,54.84186057001352,P7,2023-10-29
114,Cathode2,run-01,ses-4,sub-037,X,32.60898478701711,P7,2023-10-29
115,Cathode3,run-01,ses-4,sub-037,X,76.71979298442602,P7,2023-10-29
116,Anode,run-02,ses-4,sub-037,X,60.525700230151415,P7,2023-10-29
117,Cathode1,run-02,ses-4,sub-037,X,53.920897975564,P7,2023-10-29
118,Cathode2,run-02,ses-4,sub-037,X,32.65917483344674,P7,2023-10-29
119,Cathode3,run-02,ses-4,sub-037,X,75.90925828740001,P7,2023-10-29
120,Anode,run-01,ses-2,sub-037,X,63.60322154313326,P7,2023-10-15
121,Cathode1,run-01,ses-2,sub-037,X,60.77060218900442,P7,2023-10-15
122,Cathode2,run-01,ses-2,sub-037,X,36.57132598385215,P7,2023-10-15
123,Cathode3,run-01,ses-2,sub-037,X,79.67683859542012,P7,2023-10-15
124,Anode,run-02,ses-2,sub-037,X,63.60322154313326,P7,2023-10-15
125,Cathode1,run-02,ses-2,sub-037,X,61.56908931583166,P7,2023-10-15
126,Cathode2,run-02,ses-2,sub-037,X,36.50908836722374,P7,2023-10-15
127,Cathode3,run-02,ses-2,sub-037,X,79.76317135244608,P7,2023-10-15
128,Anode,run-01,ses-1,sub-037,X,68.7515229023993,P7,2023-07-23
129,Cathode1,run-01,ses-1,sub-037,X,61.59518422186375,P7,2023-07-23
130,Cathode2,run-01,ses-1,sub-037,X,43.56155253201723,P7,2023-07-23
131,Cathode3,run-01,ses-1,sub-037,X,81.2738128490746,P7,2023-07-23
132,Anode,run-02,ses-1,sub-037,X,68.77761780843139,P7,2023-07-23
133,Cathode1,run-02,ses-1,sub-037,X,61.54699394106865,P7,2023-07-23
134,Cathode2,run-02,ses-1,sub-037,X,46.14172699674964,P7,2023-07-23
135,Cathode3,run-02,ses-1,sub-037,X,81.46052569895983,P7,2023-07-23
