,Subject,Experiment,Electrode,run,Session,Dimension,Coordinate difference in mm,date
3,sub-001,P1,Anode,run-01,ses-1,X,0.20094567250460216,2023-05-24
4,sub-001,P1,Anode,run-01,ses-1,Y,0.10314235005527905,2023-05-24
5,sub-001,P1,Anode,run-01,ses-1,Z,1.5191302037239076,2023-05-24
6,sub-001,P1,Anode,run-01,ses-2,X,0.6487999883666618,2023-08-03
7,sub-001,P1,Anode,run-01,ses-2,Y,4.095998614169659,2023-08-03
8,sub-001,P1,Anode,run-01,ses-2,Z,8.702303644418716,2023-08-03
9,sub-001,P1,Anode,run-01,ses-3,X,2.4272556546330435,2023-09-27
10,sub-001,P1,Anode,run-01,ses-3,Y,2.6334670650959,2023-09-27
11,sub-001,P1,Anode,run-01,ses-3,Z,7.266393747329712,2023-09-27
12,sub-001,P1,Anode,run-01,ses-4,X,0.9951065386831743,2023-10-26
13,sub-001,P1,Anode,run-01,ses-4,Y,1.3310778228752298,2023-10-26
14,sub-001,P1,Anode,run-01,ses-4,Z,4.023606058061123,2023-10-26
15,sub-001,P1,Anode,run-02,ses-1,X,1.1538665051758272,2023-05-24
16,sub-001,P1,Anode,run-02,ses-1,Y,0.5891244499199075,2023-05-24
17,sub-001,P1,Anode,run-02,ses-1,Z,0.49310588449239745,2023-05-24
18,sub-001,P1,Anode,run-02,ses-2,X,1.64141081266105,2023-08-03
19,sub-001,P1,Anode,run-02,ses-2,Y,3.589220157433303,2023-08-03
20,sub-001,P1,Anode,run-02,ses-2,Z,10.610953007042408,2023-08-03
21,sub-001,P1,Anode,run-02,ses-3,X,3.365963695496319,2023-09-27
22,sub-001,P1,Anode,run-02,ses-3,Y,2.44223579244688,2023-09-27
23,sub-001,P1,Anode,run-02,ses-3,Z,8.107384730279446,2023-09-27
24,sub-001,P1,Anode,run-02,ses-4,X,2.3733528712019307,2023-10-26
25,sub-001,P1,Anode,run-02,ses-4,Y,1.9354573357105238,2023-10-26
26,sub-001,P1,Anode,run-02,ses-4,Z,6.198735367655754,2023-10-26
30,sub-001,P1,Cathode1,run-01,ses-1,X,3.481251472719009,2023-05-24
31,sub-001,P1,Cathode1,run-01,ses-1,Y,6.990981475058945,2023-05-24
32,sub-001,P1,Cathode1,run-01,ses-1,Z,48.66173675388097,2023-05-24
33,sub-001,P1,Cathode1,run-01,ses-2,X,3.3429477157816336,2023-08-03
34,sub-001,P1,Cathode1,run-01,ses-2,Y,23.863332350347193,2023-08-03
35,sub-001,P1,Cathode1,run-01,ses-2,Z,59.27365150779485,2023-08-03
36,sub-001,P1,Cathode1,run-01,ses-3,X,0.9228477320820048,2023-09-27
37,sub-001,P1,Cathode1,run-01,ses-3,Y,14.271169254630806,2023-09-27
38,sub-001,P1,Cathode1,run-01,ses-3,Z,52.78715584158897,2023-09-27
39,sub-001,P1,Cathode1,run-01,ses-4,X,3.7908020316436932,2023-10-26
40,sub-001,P1,Cathode1,run-01,ses-4,Y,19.870476086232813,2023-10-26
41,sub-001,P1,Cathode1,run-01,ses-4,Z,49.05221765965223,2023-10-26
42,sub-001,P1,Cathode1,run-02,ses-1,X,3.506728672534223,2023-05-24
