,Subject,Experiment,Electrode,run,Session,Dimension,Coordinate difference in mm,date
3,sub-001,P1,Anode,run-01,ses-1,X,0.24063566412776538,2023-05-24
4,sub-001,P1,Anode,run-01,ses-1,Y,0.2886306932941096,2023-05-24
5,sub-001,P1,Anode,run-01,ses-1,Z,0.6365051603317262,2023-05-24
6,sub-001,P1,Anode,run-01,ses-2,X,0.6091099967434985,2023-08-03
7,sub-001,P1,Anode,run-01,ses-2,Y,3.9105102709308284,2023-08-03
8,sub-001,P1,Anode,run-01,ses-2,Z,7.819678601026535,2023-08-03
9,sub-001,P1,Anode,run-01,ses-3,X,3.3120609120652063,2023-09-27
10,sub-001,P1,Anode,run-01,ses-3,Y,1.7442260630615039,2023-09-27
11,sub-001,P1,Anode,run-01,ses-3,Z,7.039726350605488,2023-09-27
12,sub-001,P1,Anode,run-01,ses-4,X,1.0347965303063376,2023-10-26
13,sub-001,P1,Anode,run-01,ses-4,Y,1.1455894796363992,2023-10-26
14,sub-001,P1,Anode,run-01,ses-4,Z,3.1409810146689416,2023-10-26
15,sub-001,P1,Anode,run-02,ses-1,X,1.1935564967989905,2023-05-24
16,sub-001,P1,Anode,run-02,ses-1,Y,0.40363610668107697,2023-05-24
17,sub-001,P1,Anode,run-02,ses-1,Z,0.38951915889978395,2023-05-24
18,sub-001,P1,Anode,run-02,ses-2,X,0.6630127801746113,2023-08-03
19,sub-001,P1,Anode,run-02,ses-2,Y,3.2125005415454524,2023-08-03
20,sub-001,P1,Anode,run-02,ses-2,Z,8.887336980700493,2023-08-03
21,sub-001,P1,Anode,run-02,ses-3,X,2.4669456462562067,2023-09-27
22,sub-001,P1,Anode,run-02,ses-3,Y,2.447978721857069,2023-09-27
23,sub-001,P1,Anode,run-02,ses-3,Z,8.149018790721893,2023-09-27
24,sub-001,P1,Anode,run-02,ses-4,X,2.359140079393981,2023-10-26
25,sub-001,P1,Anode,run-02,ses-4,Y,1.0519592630863173,2023-10-26
26,sub-001,P1,Anode,run-02,ses-4,Z,6.0137020313739775,2023-10-26
30,sub-001,P1,Cathode1,run-01,ses-1,X,3.4925158807262733,2023-05-24
31,sub-001,P1,Cathode1,run-01,ses-1,Y,8.943465963546188,2023-05-24
32,sub-001,P1,Cathode1,run-01,ses-1,Z,49.1742951247096,2023-05-24
33,sub-001,P1,Cathode1,run-01,ses-2,X,4.295868548452859,2023-08-03
34,sub-001,P1,Cathode1,run-01,ses-2,Y,24.55559915032238,2023-08-03
35,sub-001,P1,Cathode1,run-01,ses-2,Z,58.24762718856334,2023-08-03
36,sub-001,P1,Cathode1,run-01,ses-3,X,0.9086349402740552,2023-09-27
37,sub-001,P1,Cathode1,run-01,ses-3,Y,15.154667327255012,2023-09-27
38,sub-001,P1,Cathode1,run-01,ses-3,Z,52.60212250530719,2023-09-27
39,sub-001,P1,Cathode1,run-01,ses-4,X,2.8520939907804177,2023-10-26
40,sub-001,P1,Cathode1,run-01,ses-4,Y,20.061707358881833,2023-10-26
41,sub-001,P1,Cathode1,run-01,ses-4,Z,49.89320864260196,2023-10-26
42,sub-001,P1,Cathode1,run-02,ses-1,X,3.506728672534223,2023-05-24
43,sub-001,P1,Cathode1,run-02,ses-1,Y,8.059967890921982,2023-05-24
44,sub-001,P1,Cathode1,run-02,ses-1,Z,49.35932846099138,2023-05-24
45,sub-001,P1,Cathode1,run-02,ses-2,X,4.335558540076022,2023-08-03
46,sub-001,P1,Cathode1,run-02,ses-2,Y,24.37011080708355,2023-08-03
47,sub-001,P1,Cathode1,run-02,ses-2,Z,57.36500214517116,2023-08-03
48,sub-001,P1,Cathode1,run-02,ses-3,X,0.1683768575265958,2023-09-27
49,sub-001,P1,Cathode1,run-02,ses-3,Y,15.890877770800145,2023-09-27
50,sub-001,P1,Cathode1,run-02,ses-3,Z,56.174256739318366,2023-09-27
51,sub-001,P1,Cathode1,run-02,ses-4,X,2.599741249233489,2023-10-26
52,sub-001,P1,Cathode1,run-02,ses-4,Y,20.29113934569061,2023-10-26
53,sub-001,P1,Cathode1,run-02,ses-4,Z,55.37399223923683,2023-10-26
57,sub-001,P1,Cathode2,run-01,ses-1,X,1.7745207673311256,2023-05-24
58,sub-001,P1,Cathode2,run-01,ses-1,Y,14.339299010951066,2023-05-24
59,sub-001,P1,Cathode2,run-01,ses-1,Z,55.863047842085365,2023-05-24
60,sub-001,P1,Cathode2,run-01,ses-2,X,3.6746337585523747,2023-08-03
61,sub-001,P1,Cathode2,run-01,ses-2,Y,18.204295183904463,2023-08-03
62,sub-001,P1,Cathode2,run-01,ses-2,Z,34.821630921363834,2023-08-03
63,sub-001,P1,Cathode2,run-01,ses-3,X,4.241919082999232,2023-09-27
64,sub-001,P1,Cathode2,run-01,ses-3,Y,18.798960927780712,2023-09-27
65,sub-001,P1,Cathode2,run-01,ses-3,Z,42.10929866522551,2023-09-27
66,sub-001,P1,Cathode2,run-01,ses-4,X,3.9214507662132405,2023-10-26
