,X,Y,Z,Electrode,run,Session,Subject
sub-015_ses-4_run-01_Anode,74.09422380104661,-55.495757810771465,2.6840100064873695,Anode,run-01,ses-4,sub-015
sub-015_ses-4_run-01_Cathode1,74.04458298534155,-60.01808927953243,-24.110363971441984,Cathode1,run-01,ses-4,sub-015
sub-015_ses-4_run-01_Cathode2,62.65928556025028,-78.5521405339241,18.948051314800978,Cathode2,run-01,ses-4,sub-015
sub-015_ses-4_run-01_Cathode3,78.1188251748681,-32.39662529528141,15.171988151967525,Cathode3,run-01,ses-4,sub-015
sub-015_ses-4_run-02_Anode,74.0628453977406,-56.393308989703655,2.5922191217541695,Anode,run-02,ses-4,sub-015
sub-015_ses-4_run-02_Cathode1,74.07596138864756,-59.12053810060024,-24.018573086708784,Cathode1,run-02,ses-4,sub-015
sub-015_ses-4_run-02_Cathode2,63.633811853826046,-78.40617622435093,17.18764618039131,Cathode2,run-02,ses-4,sub-015
sub-015_ses-4_run-02_Cathode3,78.15020357817411,-31.49907411634922,15.263779036700726,Cathode3,run-02,ses-4,sub-015
sub-015_ses-2_run-01_Anode,75.14461543038487,-55.16888754814863,-0.87126300111413,Anode,run-01,ses-2,sub-015
sub-015_ses-2_run-01_Cathode1,69.0923177562654,-69.98780295997858,-22.600075587630272,Cathode1,run-01,ses-2,sub-015
sub-015_ses-2_run-01_Cathode2,70.22372114285827,-63.12801734358072,25.363158833235502,Cathode2,run-01,ses-2,sub-015
sub-015_ses-2_run-01_Cathode3,81.09066687524319,-24.729424118995667,-7.541623413562775,Cathode3,run-01,ses-2,sub-015
sub-015_ses-2_run-02_Anode,74.25250873714685,-55.941044107079506,-1.8949505612254143,Anode,run-02,ses-2,sub-015
sub-015_ses-2_run-02_Cathode1,68.04848039150238,-71.12177142500877,-20.03402740135789,Cathode1,run-02,ses-2,sub-015
sub-015_ses-2_run-02_Cathode2,69.325060185045,-63.09307570010424,25.328696094453335,Cathode2,run-02,ses-2,sub-015
sub-015_ses-2_run-02_Cathode3,80.98342313617468,-25.807881250977516,-5.838546425104141,Cathode3,run-02,ses-2,sub-015
sub-015_ses-1_run-01_Anode,75.99739653617144,-49.5541417747736,6.087773486971855,Anode,run-01,ses-1,sub-015
sub-015_ses-1_run-01_Cathode1,67.21911558136344,-67.87276021391153,28.390551939606667,Cathode1,run-01,ses-1,sub-015
sub-015_ses-1_run-01_Cathode2,78.62227254733443,-22.96884862333536,11.602727316319942,Cathode2,run-01,ses-1,sub-015
sub-015_ses-1_run-01_Cathode3,74.85427007824183,-58.61974047124386,-20.30258371680975,Cathode3,run-01,ses-1,sub-015
sub-015_ses-1_run-02_Anode,74.99804610386491,-51.40475546568632,6.767162915319204,Anode,run-02,ses-1,sub-015
sub-015_ses-1_run-02_Cathode1,67.27015677839518,-69.39650364220142,25.514668360352516,Cathode1,run-02,ses-1,sub-015
sub-015_ses-1_run-02_Cathode2,78.55296147614717,-23.95685277879238,12.40837036818266,Cathode2,run-02,ses-1,sub-015
sub-015_ses-1_run-02_Cathode3,74.85427007824183,-58.61974047124386,-20.30258371680975,Cathode3,run-02,ses-1,sub-015
sub-015_ses-3_run-01_Anode,74.9666677005589,-52.30230664461851,6.675372030586004,Anode,run-01,ses-3,sub-015
sub-015_ses-3_run-01_Cathode1,74.28250168263912,-51.22348344326019,-21.39758725091815,Cathode1,run-01,ses-3,sub-015
sub-015_ses-3_run-01_Cathode2,64.54418842121959,-75.12227208167315,20.28157426789403,Cathode2,run-01,ses-3,sub-015
